井名	深度	GR	SP	SH	RT	AC	PERM	POR	SW	CNL	DEN	RT.1	解释结论	层位
地199-48	2235.625	111.13	9.426	55.89	9.047	253.94	0.01	0.1	99.9	20.509	2.615	9.035		chang3
地199-48	2235.750	108.022	9.488	53.791	9.084	254.96	0.01	0.1	99.9	20.392	2.624	9.126		chang3
地199-48	2235.875	110.598	9.576	58.11	8.754	256.527	0.01	0.1	99.9	20.987	2.622	8.816		chang3
地199-48	2236.000	118.118	9.68	69.13	8.326	259.879	0.01	0.1	99.9	23.077	2.615	8.368		chang3
地199-48	2236.125	126.423	9.8	81.941	7.977	265.16	0.01	0.1	99.9	25.84	2.587	8.061		chang4+5
地199-48	2236.250	135.194	9.947	94.401	7.292	270.966	0.01	0.1	99.9	27.783	2.537	7.443		chang4+5
地199-48	2236.375	139.729	10.122	99.9	6.255	275.667	0.01	0.1	99.9	28.433	2.468	6.341		chang4+5
地199-48	2236.500	143.89	10.314	99.9	5.743	277.937	0.01	0.1	99.9	28.064	2.42	5.716		chang4+5
地199-48	2236.625	152.591	10.501	99.9	6.015	277.454	0.01	0.1	99.9	26.74	2.446	5.912		chang4+5
地199-48	2236.750	162.583	10.681	99.9	6.755	275.288	0.01	0.1	99.9	25.34	2.536	6.663		chang4+5
地199-48	2236.875	164.869	10.873	99.9	7.386	273.069	0.01	0.1	99.9	23.894	2.612	7.341		chang4+5
地199-48	2237.000	161.756	11.104	99.9	7.697	270.095	0.01	0.1	99.9	23.031	2.64	7.671		chang4+5
地199-48	2237.125	162.463	11.38	99.9	7.889	264.392	0.01	0.1	99.9	22.501	2.646	7.858		chang4+5
地199-48	2237.250	163.666	11.673	99.9	8.12	258.846	0.01	0.1	99.9	21.923	2.655	8.085		chang4+5
地199-48	2237.375	163.061	11.943	99.9	8.355	254.287	0.01	0.1	99.9	21.838	2.648	8.34		chang4+5
地199-48	2237.500	163.949	12.168	99.9	8.419	252.345	0.01	0.1	99.9	22.25	2.63	8.451		chang4+5
地199-48	2237.625	166.686	12.342	99.9	8.14	254.562	0.01	0.1	99.9	23.43	2.605	8.22		chang4+5
地199-48	2237.750	166.974	12.469	99.9	7.581	258.836	0.01	0.1	99.9	25.27	2.576	7.633		chang4+5
