井名	深度	GR	SP	SH	AT90	AC	PERM	POR	SW	RT	DEN	解释结论	层位
地207-42	2404.250	59.257	65.471	8.974	6.691	242.276	3.655	13.618	60.711	6.918	2.434		chang3
地207-42	2404.375	57.233	66.042	8.786	6.470	245.853	5.214	14.539	58.714	6.570	2.425		chang3
地207-42	2404.500	57.590	66.712	9.309	6.305	248.940	7.150	15.380	56.613	6.383	2.424		chang3
地207-42	2404.625	60.615	67.479	10.846	6.039	251.437	9.072	16.083	55.308	6.168	2.434		chang3
地207-42	2404.750	67.653	68.325	17.778	5.786	253.435	5.201	8.572	76.538	5.907	2.458		chang3
地207-42	2404.875	78.440	69.239	29.882	5.763	254.997	0.010	0.100	99.900	5.769	2.494		chang3
地207-42	2405.000	92.014	70.212	40.002	6.117	255.542	0.010	0.100	99.900	5.940	2.536		chang3
地207-42	2405.125	98.977	71.228	44.549	6.895	254.312	0.010	0.100	99.900	6.514	2.575		chang3
地207-42	2405.250	99.417	72.267	43.994	8.325	250.774	0.010	0.100	99.900	7.628	2.601		chang3
地207-42	2405.375	97.151	73.312	41.492	10.478	245.328	0.010	0.100	99.900	9.433	2.607		chang3
地207-42	2405.500	94.588	74.348	39.586	13.000	239.893	0.010	0.100	99.900	11.786	2.592		chang3
地207-42	2405.625	94.622	75.358	41.548	14.855	237.110	0.010	0.100	99.900	13.981	2.567		chang3
地207-42	2405.750	99.906	76.329	47.355	15.032	238.834	0.010	0.100	99.900	14.981	2.539		chang3
地207-42	2405.875	105.490	77.251	52.047	13.570	245.554	0.010	0.100	99.900	14.302	2.515		chang3
地207-42	2406.000	108.104	78.109	55.778	11.377	256.166	0.010	0.100	99.900	12.440	2.500		chang3
地207-42	2406.125	112.484	78.893	61.553	9.567	266.667	0.010	0.100	99.900	10.424	2.498		chang4+5
地207-42	2406.250	116.931	79.604	64.940	8.576	273.388	0.010	0.100	99.900	9.034	2.507		chang4+5
地207-42	2406.375	115.691	80.240	60.641	8.396	273.701	0.010	0.100	99.900	8.466	2.523		chang4+5
地207-42	2406.500	108.390	80.793	51.565	8.953	266.516	0.010	0.100	99.900	8.672	2.542		chang4+5
地207-42	2406.625	100.636	81.262	44.568	9.941	255.777	0.010	0.100	99.900	9.460	2.557		chang4+5
地207-42	2406.750	96.975	81.656	42.081	10.926	245.309	0.010	0.100	99.900	10.455	2.566		chang4+5
地207-42	2406.875	96.910	81.980	42.748	11.700	238.206	0.010	0.100	99.900	11.334	2.569		chang4+5
地207-42	2407.000	99.048	82.232	45.558	12.095	236.629	0.010	0.100	99.900	11.913	2.569		chang4+5
地207-42	2407.125	103.016	82.416	50.439	11.683	239.014	0.010	0.100	99.900	11.897	2.570		chang4+5
地207-42	2407.250	108.197	82.543	55.785	10.428	243.211	0.010	0.100	99.900	11.045	2.573		chang4+5
地207-42	2407.375	111.639	82.619	58.677	9.219	246.680	0.010	0.100	99.900	9.796	2.576		chang4+5
地207-42	2407.500	111.863	82.645	57.518	8.964	246.773	0.010	0.100	99.900	9.067	2.572		chang4+5
地207-42	2407.625	108.728	82.626	53.348	9.851	243.615	0.010	0.100	99.900	9.404	2.562		chang4+5
地207-42	2407.750	104.309	82.569	48.170	11.960	238.945	0.010	0.100	99.900	10.927	2.547		chang4+5
地207-42	2407.875	99.566	82.478	43.908	14.544	235.621	0.010	0.100	99.900	13.299	2.536		chang4+5
地207-42	2408.000	98.027	82.355	45.155	15.411	236.938	0.010	0.100	99.900	15.032	2.534		chang4+5
地207-42	2408.125	104.194	82.198	53.254	13.537	242.739	0.010	0.100	99.900	14.488	2.540		chang4+5
地207-42	2408.250	113.816	82.013	66.025	10.943	251.567	0.010	0.100	99.900	12.197	2.545		chang4+5
地207-42	2408.375	124.743	81.799	79.504	9.146	261.338	0.010	0.100	99.900	9.989	2.541		chang4+5
地207-42	2408.500	131.685	81.555	87.262	8.098	269.938	0.010	0.100	99.900	8.585	2.524		chang4+5
地207-42	2408.625	134.205	81.277	92.466	7.489	276.476	0.010	0.100	99.900	7.772	2.504		chang4+5
地207-42	2408.750	138.599	80.970	97.943	7.381	280.447	0.010	0.100	99.900	7.423	2.492		chang4+5
地207-42	2408.875	141.976	80.635	97.388	7.818	281.136	0.010	0.100	99.900	7.598	2.498		chang4+5
地207-42	2409.000	134.411	80.275	83.217	8.544	276.783	0.010	0.100	99.900	8.191	2.525		chang4+5
地207-42	2409.125	118.729	79.893	61.268	9.115	267.801	0.010	0.100	99.900	8.845	2.563		chang4+5
地207-42	2409.250	103.418	79.502	45.287	9.778	255.599	0.010	0.100	99.900	9.459	2.605		chang4+5
地207-42	2409.375	92.920	79.111	36.548	11.167	242.832	0.010	0.100	99.900	10.488	2.638		chang4+5
地207-42	2409.500	87.481	78.735	32.583	13.302	233.038	0.010	0.100	99.900	12.266	2.646		chang4+5
地207-42	2409.625	84.639	78.392	29.849	14.921	227.319	0.010	0.100	99.900	14.157	2.637		chang4+5
地207-42	2409.750	80.677	78.094	26.438	14.964	225.051	0.010	0.100	99.900	14.975	2.618		chang4+5
地207-42	2409.875	76.585	77.856	24.074	14.466	224.649	0.010	0.100	99.900	14.714	2.598		chang4+5
地207-42	2410.000	75.571	77.694	23.724	13.928	224.646	0.010	0.100	99.900	14.186	2.581		chang4+5
地207-42	2410.125	76.225	77.623	24.552	13.333	224.515	0.010	0.100	99.900	13.619	2.569		chang4+5
地207-42	2410.250	78.781	77.640	27.821	12.850	224.661	0.010	0.100	99.900	13.079	2.560		chang4+5
地207-42	2410.375	85.932	77.748	34.969	12.912	226.065	0.010	0.100	99.900	12.871	2.547		chang4+5
地207-42	2410.500	95.746	77.949	43.776	14.033	230.697	0.010	0.100	99.900	13.476	2.523		chang4+5
地207-42	2410.625	103.670	78.238	51.351	15.742	238.911	0.010	0.100	99.900	14.913	2.492		chang4+5
地207-42	2410.750	109.154	78.598	56.655	16.593	249.490	0.010	0.100	99.900	16.204	2.453		chang4+5
地207-42	2410.875	111.630	79.016	57.686	15.940	259.551	0.010	0.100	99.900	16.283	2.407		chang4+5
地207-42	2411.000	110.144	79.478	56.470	15.150	265.448	0.010	0.100	99.900	15.530	2.355		chang4+5
地207-42	2411.125	110.733	79.970	59.248	15.282	267.359	0.010	0.100	99.900	15.200	2.307		chang4+5
