井名	深度	GR	SP	SH	SS	AT90	AC	PERM2024	PERM	POR2024	POR	SW	SW2024	RT	DEN	解释结论	层位
地207-44	2323.750	101.210	63.358	69.113	30.887	10.362	249.641	0.000	0.010	0.000	0.100	99.900	0.000	10.375	2.520		
地207-44	2323.875	103.002	63.514	71.754	28.246	10.656	252.707	0.000	0.010	0.000	0.100	99.900	0.000	10.765	2.502		
地207-44	2324.000	104.733	63.645	73.909	26.091	11.116	259.371	0.000	0.010	0.000	0.100	99.900	0.000	11.253	2.493		
地207-44	2324.125	108.241	63.738	79.548	20.452	11.413	268.836	0.000	0.010	0.000	0.100	99.900	0.000	11.476	2.491		
地207-44	2324.250	110.760	63.793	82.914	17.086	11.335	279.982	0.000	0.010	0.000	0.100	99.900	0.000	11.280	2.494		
地207-44	2324.375	116.489	63.818	92.072	7.928	11.135	289.452	0.000	0.010	0.000	0.100	99.900	0.000	11.079	2.499		
地207-44	2324.500	123.654	63.776	99.900	0.100	11.064	293.197	0.000	0.010	0.000	0.100	99.900	0.000	11.058	2.505		长4+5!1^(1_1)
地207-44	2324.625	126.415	63.593	99.900	0.100	10.969	289.108	0.000	0.010	0.000	0.100	99.900	0.000	10.934	2.515		长4+5!1^(1_1)
地207-44	2324.750	122.506	63.304	99.900	0.100	10.590	279.130	0.000	0.010	0.000	0.100	99.900	0.000	10.457	2.531		长4+5!1^(1_1)
地207-44	2324.875	114.212	63.008	91.836	8.164	10.073	268.419	0.000	0.010	0.000	0.100	99.900	0.000	9.924	2.556		长4+5!1^(1_1)
地207-44	2325.000	103.860	62.736	75.139	24.861	9.951	257.962	0.000	0.010	0.000	0.100	99.900	0.000	9.961	2.585		长4+5!1^(1_1)
地207-44	2325.125	93.588	62.514	60.411	39.589	10.504	246.650	0.000	0.010	0.000	0.100	99.900	0.000	10.715	2.610		长4+5!1^(1_1)
地207-44	2325.250	85.335	62.354	50.111	49.889	11.675	234.835	0.000	0.010	0.000	0.100	99.900	0.000	12.047	2.626		长4+5!1^(1_1)
地207-44	2325.375	78.310	62.258	42.193	57.807	13.170	225.400	0.000	0.010	0.000	0.100	99.900	0.000	13.606	2.627		长4+5!1^(1_1)
