井名	深度	GR	SP	SH	IR4A	AC	PERM	POR	SW	DEN	RT	解释结论	层位
地211-57	2295.750	117.447	85.739	64.723	11.711	236.158	0.010	0.100	99.900	2.654	11.412		chang3
地211-57	2295.875	112.221	86.471	57.179	12.225	228.584	0.010	0.100	99.900	2.629	12.131		chang3
地211-57	2296.000	107.712	87.164	50.603	12.823	221.979	0.010	0.100	99.900	2.566	12.635		chang3
地211-57	2296.125	109.270	87.815	49.927	13.530	218.359	0.010	0.100	99.900	2.474	13.386		chang3
地211-57	2296.250	117.802	88.418	60.065	15.415	218.450	0.010	0.100	99.900	2.374	14.791		chang3
地211-57	2296.375	125.056	88.970	71.463	17.391	224.951	0.010	0.100	99.900	2.289	17.059		chang3
地211-57	2296.500	131.141	89.468	81.352	14.829	245.242	0.010	0.100	99.900	2.246	16.011		chang3
地211-57	2296.625	136.616	89.920	91.576	10.539	279.294	0.010	0.100	99.900	2.246	11.365		chang3
地211-57	2296.750	138.282	90.327	96.697	8.575	316.482	0.010	0.100	99.900	2.280	8.845		chang3
地211-57	2296.875	136.412	90.691	94.196	8.054	335.906	0.010	0.100	99.900	2.330	8.087		chang3
地211-57	2297.000	132.788	91.010	89.961	9.585	319.566	0.010	0.100	99.900	2.384	9.324		chang3
地211-57	2297.125	123.474	91.289	75.825	10.980	279.665	0.010	0.100	99.900	2.432	10.555		chang4+5
地211-57	2297.250	112.500	91.528	59.538	12.035	237.508	0.010	0.100	99.900	2.476	11.880		chang4+5
地211-57	2297.375	104.701	91.724	48.187	12.691	211.616	0.010	0.100	99.900	2.515	12.543		chang4+5
地211-57	2297.500	104.546	91.870	45.701	13.006	207.050	0.010	0.100	99.900	2.548	12.966		chang4+5
地211-57	2297.625	106.076	91.970	47.538	13.207	213.721	0.010	0.100	99.900	2.573	13.149		chang4+5
地211-57	2297.750	107.453	92.021	49.204	13.312	224.571	0.010	0.100	99.900	2.589	13.306		chang4+5
地211-57	2297.875	110.666	92.021	52.335	13.253	235.076	0.010	0.100	99.900	2.590	13.266		chang4+5
地211-57	2298.000	119.822	91.963	61.982	13.253	242.157	0.010	0.100	99.900	2.573	13.305		chang4+5
地211-57	2298.125	130.294	91.857	79.026	13.107	246.101	0.010	0.100	99.900	2.539	13.120		chang4+5
地211-57	2298.250	137.380	91.705	92.354	12.929	249.564	0.010	0.100	99.900	2.490	12.989		chang4+5
地211-57	2298.375	144.775	91.513	99.146	13.144	255.438	0.010	0.100	99.900	2.439	13.059		chang4+5
地211-57	2298.500	158.753	91.285	99.900	13.962	264.508	0.010	0.100	99.900	2.400	13.679		chang4+5
地211-57	2298.625	172.139	91.034	99.900	14.038	275.082	0.010	0.100	99.900	2.385	14.356		chang4+5
地211-57	2298.750	171.064	90.771	99.900	12.596	285.808	0.010	0.100	99.900	2.394	12.955		chang4+5
地211-57	2298.875	152.030	90.504	99.900	10.160	293.419	0.010	0.100	99.900	2.422	10.734		chang4+5
地211-57	2299.000	129.592	90.245	88.650	9.574	290.475	0.010	0.100	99.900	2.457	9.487		chang4+5
地211-57	2299.125	113.559	90.003	61.891	10.519	273.944	0.010	0.100	99.900	2.489	10.116		chang4+5
地211-57	2299.250	102.040	89.784	46.280	12.303	247.514	0.010	0.100	99.900	2.509	11.862		chang4+5
地211-57	2299.375	92.295	89.596	35.386	13.072	221.771	0.010	0.100	99.900	2.508	12.934		chang4+5
地211-57	2299.500	86.453	89.444	28.559	13.654	208.331	0.010	0.100	99.900	2.473	13.571		chang4+5
地211-57	2299.625	84.564	89.328	25.878	13.974	207.548	0.010	0.100	99.900	2.396	13.905		chang4+5
地211-57	2299.750	86.850	89.245	27.403	14.545	213.773	0.010	0.100	99.900	2.277	14.370		chang4+5
地211-57	2299.875	90.863	89.197	30.778	16.017	219.367	0.010	0.100	99.900	2.121	15.632		chang4+5
地211-57	2300.000	97.229	89.183	36.369	18.545	219.109	0.010	0.100	99.900	1.951	17.212		chang4+5
地211-57	2300.125	105.321	89.194	44.533	21.021	216.813	0.010	0.100	99.900	1.794	21.374		chang4+5
地211-57	2300.250	112.993	89.228	54.560	18.198	222.319	0.010	0.100	99.900	1.670	19.051		chang4+5
地211-57	2300.375	113.291	89.281	57.486	11.685	246.023	0.010	0.100	99.900	1.592	13.284		chang4+5
地211-57	2300.500	107.171	89.349	50.252	8.570	285.840	0.010	0.100	99.900	1.571	8.720		chang4+5
