井名	深度	GR	SP	SH	AT90	AC	PERM	POR	SW	DEN	RT	解释结论	层位
地308-61	2248.125	88.578	69.182	33.018	18.201	222.107	0.010	0.100	99.900	2.604	18.344		chang3
地308-61	2248.250	91.955	68.923	39.356	18.244	225.407	0.010	0.100	99.900	2.604	18.187		chang3
地308-61	2248.375	102.523	68.772	50.924	17.239	232.382	0.010	0.100	99.900	2.593	16.707		chang3
地308-61	2248.500	113.797	68.714	62.555	15.023	239.477	0.010	0.100	99.900	2.578	14.079		chang3
地308-61	2248.625	124.065	68.743	74.854	12.541	244.982	0.010	0.100	99.900	2.563	11.678	油层	chang3
地308-61	2248.750	131.328	68.868	82.577	10.864	248.358	0.010	0.100	99.900	2.562	10.407	油层	chang3
地308-61	2248.875	131.045	69.074	77.587	10.067	250.214	0.010	0.100	99.900	2.575	9.876	油层	chang3
地308-61	2249.000	126.102	69.325	70.260	9.729	251.226	0.010	0.100	99.900	2.591	9.646	油层	chang3
地308-61	2249.125	123.204	69.585	68.597	9.557	251.600	0.010	0.100	99.900	2.595	9.507	油层	chang3
地308-61	2249.250	124.585	69.796	72.235	9.532	250.891	0.010	0.100	99.900	2.589	9.547	油层	chang3
地308-61	2249.375	125.800	69.912	72.572	9.888	248.257	0.010	0.100	99.900	2.590	10.080	油层	chang3
地308-61	2249.500	120.970	69.915	63.198	10.855	243.044	0.010	0.100	99.900	2.603	11.291	油层	chang3
地308-61	2249.625	112.488	69.816	53.349	12.530	235.840	0.010	0.100	99.900	2.621	13.226	油层	chang3
地308-61	2249.750	104.236	69.635	45.501	14.960	229.174	0.010	0.100	99.900	2.630	15.933	油层	chang3
地308-61	2249.875	97.465	69.391	39.866	17.909	225.756	0.010	0.100	99.900	2.624	19.017	油层	chang3
地308-61	2250.000	93.537	69.092	37.538	20.111	227.315	0.010	0.100	99.900	2.606	20.724	油层	chang3
地308-61	2250.125	95.310	68.741	41.283	19.812	234.689	0.010	0.100	99.900	2.578	19.300	油层	chang3
地308-61	2250.250	101.377	68.362	47.925	16.835	247.632	0.010	0.100	99.900	2.539	15.453	油层	chang3
地308-61	2250.375	109.249	68.007	56.498	13.029	263.235	0.010	0.100	99.900	2.492	11.669	油层	chang3
地308-61	2250.500	119.836	67.711	70.301	10.165	277.759	0.010	0.100	99.900	2.443	9.322	油层	chang3
地308-61	2250.625	132.654	67.468	88.408	8.841	287.816	0.010	0.100	99.900	2.408	8.572	油层	chang3
地308-61	2250.750	142.973	67.253	99.900	9.258	289.864	0.010	0.100	99.900	2.401	9.644	油层	chang3
地308-61	2250.875	146.041	67.037	99.900	11.264	283.879	0.010	0.100	99.900	2.420	12.172	油层	chang3
地308-61	2251.000	142.889	66.806	93.922	13.636	272.392	0.010	0.100	99.900	2.456	14.457	油层	chang3
