井名	深度	GR	SP	SH	SS	IR4A	AC	PERM2024	PERM	POR2024	POR	SW	SW2024	DEN	RT	解释结论	层位
地72-94	2280.750	97.514	88.056	56.043	43.957	13.690	248.640	0.351	9.057	10.211	9.439	64.245	0.497	2.439	13.690		
地72-94	2280.875	80.085	86.226	26.393	73.607	13.879	239.040	0.524	9.264	11.024	14.220	44.277	0.491	2.422	13.879	差油层	
地72-94	2281.000	69.319	84.734	18.515	81.485	13.772	234.515	0.720	3.954	11.672	12.563	49.513	0.493	2.412	13.772	差油层	
地72-94	2281.125	66.763	83.682	15.639	84.361	13.482	235.497	0.863	3.205	12.040	12.254	51.087	0.500	2.410	13.482	差油层	
地72-94	2281.250	67.701	83.075	15.542	84.458	13.269	237.584	0.915	3.899	12.160	12.670	49.980	0.506	2.413	13.269	差油层	
地72-94	2281.375	69.644	82.860	16.299	83.701	13.276	237.865	0.841	4.386	11.987	12.923	49.068	0.506	2.421	13.276	差油层	
地72-94	2281.500	71.051	82.842	16.955	83.045	13.444	235.723	0.701	3.870	11.618	12.627	49.805	0.502	2.434	13.444	差油层	
地72-94	2281.625	70.141	82.850	16.767	83.233	13.751	232.432	0.621	2.785	11.370	11.912	51.931	0.494	2.451	13.751	差油层	
地72-94	2281.750	66.355	82.867	15.402	84.598	14.031	229.821	0.659	1.913	11.491	11.183	54.409	0.486	2.470	14.031	差油层	
地72-94	2281.875	60.576	82.989	13.190	86.810	14.030	228.645	0.833	1.476	11.970	10.741	56.400	0.486	2.488	14.030	差油层	
地72-94	2282.000	55.022	83.329	10.941	89.059	13.967	228.799	1.116	1.386	12.564	10.645	56.974	0.487	2.500	13.967	差油层	
地72-94	2282.125	51.859	83.965	9.438	90.562	14.197	229.578	1.365	1.525	12.974	10.779	55.891	0.480	2.503	14.197	差油层	
地72-94	2282.250	51.078	84.907	8.853	91.147	14.534	230.167	1.464	1.717	13.117	10.947	54.470	0.472	2.495	14.534	差油层	
地72-94	2282.375	51.804	86.077	8.916	91.084	14.723	230.413	1.428	1.835	13.067	11.044	53.686	0.467	2.479	14.723	差油层	
地72-94	2282.500	53.348	87.320	9.372	90.628	14.810	230.940	1.356	1.958	12.961	11.148	53.075	0.465	2.461	14.810	差油层	
地72-94	2282.625	55.581	88.533	10.191	89.809	14.732	233.805	1.401	2.573	13.027	11.636	51.238	0.467	2.446	14.732	差油层	
地72-94	2282.750	59.563	89.719	11.739	88.261	14.099	240.400	1.602	4.895	13.300	12.925	47.750	0.482	2.436	14.099	差油层	
地72-94	2282.875	67.518	90.948	14.941	85.059	13.332	250.549	1.793	12.826	13.530	15.130	42.710	0.503	2.433	13.332	差油层	
