井名	深度	GR	SP	SH	SS	IR4A	AC	PERM2024	PERM	POR2024	POR	SW	SW2024	RT	DEN	解释结论	层位
地93-88	2267.750	113.678	82.570	62.061	37.939	14.687	247.729	0.000	0.010	0.000	0.100	99.900	0.000	14.649	2.634		
地93-88	2267.875	118.978	82.285	67.321	32.679	14.475	251.368	0.000	0.010	0.000	0.100	99.900	0.000	14.414	2.637		
地93-88	2268.000	120.813	81.932	67.496	32.504	14.171	250.552	0.000	0.010	0.000	0.100	99.900	0.000	14.109	2.640		
地93-88	2268.125	118.367	81.415	63.015	36.985	13.850	246.023	0.000	0.010	0.000	0.100	99.900	0.000	13.776	2.640		
地93-88	2268.250	113.779	80.650	57.304	42.696	13.472	239.846	0.000	0.010	0.000	0.100	99.900	0.000	13.386	2.637		
地93-88	2268.375	109.658	79.608	42.929	57.071	13.040	234.703	0.093	0.869	7.495	4.885	86.932	0.522	12.948	2.630		
地93-88	2268.500	105.353	78.327	24.265	75.735	12.590	231.500	0.098	2.099	7.609	11.976	68.333	0.535	12.507	2.620	水层	
地93-88	2268.625	96.975	76.830	19.835	80.165	12.197	230.048	0.139	1.991	8.330	11.835	70.060	0.546	12.135	2.610	水层	
地93-88	2268.750	87.011	75.172	16.352	83.648	11.911	229.335	0.224	1.941	9.292	11.766	71.174	0.554	11.874	2.602	水层	
地93-88	2268.875	82.286	73.475	15.438	84.562	11.747	228.425	0.272	1.878	9.689	11.677	72.058	0.559	11.732	2.597	水层	
地93-88	2269.000	84.277	71.859	15.917	84.083	11.693	227.283	0.232	1.800	9.362	11.567	72.747	0.560	11.698	2.595	水层	
地93-88	2269.125	84.977	70.365	15.766	84.234	11.734	226.242	0.212	1.732	9.181	11.466	73.105	0.558	11.756	2.598	水层	
地93-88	2269.250	83.593	69.027	15.368	84.632	11.855	225.162	0.215	1.664	9.213	11.361	73.258	0.554	11.890	2.604	水层	
地93-88	2269.375	83.806	67.845	15.964	84.036	12.035	223.829	0.199	1.582	9.052	11.232	73.391	0.547	12.078	2.610	水层	
地93-88	2269.500	87.951	66.786	17.653	82.347	12.241	222.443	0.150	1.501	8.476	11.097	73.538	0.542	12.277	2.615	水层	
地93-88	2269.625	92.768	65.848	18.844	81.156	12.375	221.361	0.111	1.439	7.862	10.992	73.860	0.539	12.367	2.616	水层	
地93-88	2269.750	93.189	65.013	18.240	81.760	12.295	220.600	0.104	1.397	7.739	10.918	74.643	0.544	12.248	2.611	水层	
地93-88	2269.875	89.470	64.225	16.696	83.304	12.035	220.473	0.125	1.390	8.113	10.906	75.599	0.553	11.963	2.601	水层	
地93-88	2270.000	85.951	63.456	15.927	84.073	11.674	221.636	0.159	1.455	8.600	11.019	76.120	0.565	11.598	2.586	水层	
地93-88	2270.125	85.849	62.757	16.519	83.481	11.320	224.485	0.185	1.625	8.908	11.295	75.630	0.577	11.269	2.567	水层	
地93-88	2270.250	87.946	62.275	18.421	81.579	11.093	228.908	0.000	1.917	0.000	11.724	73.953	0.000	11.070	2.549	水层	
地93-88	2270.375	93.390	62.237	30.612	69.388	11.008	234.040	0.000	1.284	0.000	7.249	83.534	0.000	11.017	2.534		
地93-88	2270.500	102.793	62.798	50.811	49.189	11.082	238.791	0.000	0.010	0.000	0.100	99.900	0.000	11.121	2.525		
地93-88	2270.625	112.401	63.957	60.346	39.654	11.297	242.519	0.000	0.010	0.000	0.100	99.900	0.000	11.355	2.524		
地93-88	2270.750	117.626	65.561	65.405	34.595	11.588	244.941	0.000	0.010	0.000	0.100	99.900	0.000	11.648	2.530		
地93-88	2270.875	119.377	67.378	66.911	33.089	11.872	245.717	0.000	0.010	0.000	0.100	99.900	0.000	11.918	2.541		
地93-88	2271.000	119.494	69.186	65.468	34.532	12.084	244.724	0.000	0.010	0.000	0.100	99.900	0.000	12.113	2.555		
地93-88	2271.125	116.674	70.877	60.958	39.042	12.206	242.587	0.000	0.010	0.000	0.100	99.900	0.000	12.211	2.570		
地93-88	2271.250	112.439	72.353	54.895	45.105	12.218	240.867	0.000	0.010	0.000	0.100	99.900	0.000	12.210	2.584		
地93-88	2271.375	106.748	73.490	48.012	51.988	12.179	240.614	0.000	0.010	0.000	0.100	99.900	0.000	12.172	2.594		
地93-88	2271.500	100.616	74.176	41.638	58.362	12.161	240.697	0.000	0.010	0.000	0.100	99.900	0.000	12.173	2.599		
地93-88	2271.625	95.128	74.355	36.791	63.209	12.238	239.774	0.000	0.010	0.000	0.100	99.900	0.000	12.270	2.597		
地93-88	2271.750	91.373	74.062	33.529	66.471	12.393	237.374	0.000	0.010	0.000	0.100	99.900	0.000	12.422	2.588		
地93-88	2271.875	88.436	73.373	30.642	69.358	12.524	234.419	0.000	0.010	0.000	0.100	99.900	0.000	12.540	2.575		
地93-88	2272.000	84.866	72.332	23.275	76.725	12.593	232.662	0.296	0.872	9.862	4.889	86.969	0.529	12.600	2.561		
地93-88	2272.125	81.230	70.920	14.522	85.478	12.645	233.256	0.367	2.233	10.302	12.146	67.085	0.527	12.668	2.551	含油水层	
地93-88	2272.250	77.129	69.195	13.091	86.909	12.784	235.888	0.518	2.449	11.003	12.401	65.499	0.521	12.833	2.550	含油水层	
地93-88	2272.375	72.198	67.276	11.427	88.573	13.046	238.663	0.768	2.690	11.805	12.670	63.627	0.511	13.114	2.556	含油水层	
地93-88	2272.500	66.264	65.267	9.903	90.097	13.388	239.826	1.104	2.795	12.543	12.783	62.329	0.500	13.461	2.569	含油水层	
地93-88	2272.625	63.273	63.160	9.528	90.472	13.752	238.643	1.211	2.689	12.731	12.668	61.964	0.490	13.829	2.584	含油水层	
地93-88	2272.750	65.600	60.889	10.363	89.637	14.127	234.682	0.878	2.355	12.076	12.284	62.785	0.481	14.196	2.594	含油水层	
地93-88	2272.875	70.732	58.505	11.558	88.442	14.449	228.433	0.491	1.889	10.891	11.678	64.850	0.475	14.499	2.596	含油水层	
地93-88	2273.000	75.478	56.255	12.052	87.948	14.685	222.092	0.278	1.486	9.737	11.063	67.357	0.471	14.720	2.588	含油水层	
地93-88	2273.125	75.629	54.339	11.248	88.752	14.856	218.573	0.231	1.290	9.355	10.722	68.746	0.468	14.888	2.568	含油水层	
地93-88	2273.250	71.669	52.780	9.542	90.458	15.041	219.811	0.301	1.358	9.896	10.842	67.650	0.462	15.099	2.543	含油水层	
地93-88	2273.375	64.033	51.454	7.463	92.537	15.347	224.771	0.573	1.647	11.207	11.323	64.547	0.454	15.421	2.516	含油水层	
地93-88	2273.500	55.875	50.241	5.872	94.128	15.721	230.266	1.151	2.013	12.628	11.856	61.332	0.444	15.798	2.491	含油水层	
地93-88	2273.625	51.244	49.189	5.215	94.785	16.088	234.561	1.818	2.339	13.557	12.273	58.906	0.436	16.149	2.474	含油水层	
地93-88	2273.750	49.750	48.407	5.122	94.878	16.373	237.708	2.304	2.605	14.041	12.578	57.220	0.430	16.417	2.466	含油水层	
地93-88	2273.875	49.285	47.894	5.262	94.738	16.577	240.480	2.720	2.859	14.378	12.847	55.886	0.426	16.605	2.466	含油水层	
地93-88	2274.000	49.641	47.518	5.891	94.109	16.703	243.052	3.046	3.111	14.609	13.096	54.802	0.423	16.716	2.476	含油水层	
地93-88	2274.125	53.233	47.226	7.135	92.865	16.756	244.874	2.783	3.299	14.425	13.273	54.113	0.423	16.759	2.494	含油水层	
地93-88	2274.250	57.580	47.061	8.265	91.735	16.778	245.533	2.305	3.369	14.041	13.337	53.843	0.423	16.791	2.518	含油水层	
地93-88	2274.375	60.093	47.081	8.611	91.389	16.867	244.621	1.935	3.273	13.685	13.248	53.958	0.421	16.909	2.544	含油水层	
地93-88	2274.500	59.669	47.290	7.990	92.010	17.114	241.106	1.652	2.926	13.363	12.907	54.709	0.416	17.197	2.570	含油水层	
地93-88	2274.625	57.295	47.679	6.782	93.218	17.557	234.043	1.299	2.316	12.874	12.222	56.540	0.408	17.674	2.593	含油水层	
地93-88	2274.750	54.839	48.213	5.601	94.399	18.146	224.008	0.881	1.619	12.084	11.249	59.682	0.399	18.272	2.612	含油水层	
