井名	深度	GR	SP	SH	SS	RILD	RILM	AC	PERM2024	PERM	POR2024	POR	SW	SW2024	DEN	RT	解释结论	层位
地93-91	2397.500	124.702	83.552	51.141	48.859	9.432	9.296	236.875	0.000	0.010	0.000	0.100	99.900	0.000	2.618	9.550		
地93-91	2397.625	122.392	83.521	49.452	50.548	9.728	9.610	235.562	0.000	0.010	0.000	0.100	99.900	0.000	2.624	9.858		
地93-91	2397.750	121.866	83.297	48.999	51.001	10.052	9.967	234.257	0.000	0.010	0.000	0.100	99.900	0.000	2.623	10.200		
地93-91	2397.875	121.568	82.870	48.417	51.583	10.421	10.400	233.130	0.000	0.010	0.000	0.100	99.900	0.000	2.620	10.593		
地93-91	2398.000	120.607	82.260	46.667	53.333	10.850	10.938	232.396	0.000	0.010	0.000	0.100	99.900	0.000	2.619	11.053		
地93-91	2398.125	117.730	81.479	42.957	57.043	11.357	11.612	232.057	0.000	0.010	0.000	0.100	99.900	0.000	2.618	11.585		
地93-91	2398.250	112.560	80.542	37.392	62.608	11.927	12.373	231.473	0.000	0.010	0.000	0.100	99.900	0.000	2.612	12.171		
地93-91	2398.375	105.188	79.456	30.953	69.047	12.536	13.148	229.803	0.000	0.010	0.000	0.100	99.900	0.000	2.600	12.781		
地93-91	2398.500	97.280	78.250	25.097	74.903	13.148	13.846	226.249	0.000	0.010	0.000	0.100	99.900	0.000	2.587	13.369		
地93-91	2398.625	90.242	76.953	20.419	79.581	13.701	14.349	220.058	0.000	0.010	0.000	0.100	99.900	0.000	2.577	13.881		
地93-91	2398.750	84.298	75.620	17.155	82.845	14.150	14.621	212.194	0.000	0.010	0.000	0.100	99.900	0.000	2.579	14.269		
地93-91	2398.875	80.872	74.271	15.703	84.297	14.447	14.639	204.266	0.000	0.010	0.000	0.100	99.900	0.000	2.595	14.492		
地93-91	2399.000	80.264	72.927	15.813	84.187	14.559	14.402	198.488	0.000	0.010	0.000	0.100	99.900	0.000	2.620	14.505		
地93-91	2399.125	81.611	71.607	16.859	83.141	14.425	13.890	197.679	0.000	0.010	0.000	0.100	99.900	0.000	2.646	14.287		
地93-91	2399.250	83.758	70.333	14.761	85.239	14.081	13.185	201.506	0.064	0.396	6.731	4.175	85.082	0.497	2.658	13.870		
地93-91	2399.375	87.745	69.146	11.297	88.703	13.555	12.368	207.932	0.072	1.034	6.986	10.421	62.988	0.512	2.647	13.289	水层	
地93-91	2399.500	93.196	68.083	13.543	86.457	12.892	11.523	213.927	0.074	1.088	7.043	10.614	63.905	0.533	2.617	12.594	水层	
地93-91	2399.625	98.829	67.182	15.519	84.481	12.148	10.743	216.949	0.065	0.976	6.772	10.511	66.111	0.559	2.579	11.849	水层	
地93-91	2399.750	102.806	66.427	16.826	83.174	11.400	10.074	217.911	0.056	0.858	6.459	10.381	68.539	0.586	2.547	11.121	水层	
地93-91	2399.875	104.902	65.828	17.422	82.578	10.701	9.528	218.821	0.052	0.860	6.335	10.490	70.061	0.614	2.534	10.457	水层	
地93-91	2400.000	104.672	65.375	17.449	82.551	10.091	9.101	221.306	0.060	1.043	6.618	10.947	70.091	0.639	2.536	9.902	水层	
地93-91	2400.125	103.373	65.096	17.220	82.780	9.618	8.805	225.348	0.079	1.372	7.174	11.579	69.162	0.659	2.543	9.482	水层	
地93-91	2400.250	101.566	64.943	16.845	83.155	9.278	8.613	229.138	0.105	1.719	7.757	12.125	68.202	0.673	2.544	9.193	水层	
地93-91	2400.375	100.023	64.883	16.399	83.601	9.065	8.512	231.371	0.128	1.939	8.150	12.429	67.725	0.682	2.537	9.025	水层	
地93-91	2400.500	98.609	64.885	15.889	84.111	8.964	8.493	231.612	0.139	1.976	8.323	12.484	67.751	0.685	2.528	8.962	水层	
地93-91	2400.625	97.580	64.930	15.521	84.479	8.960	8.548	230.420	0.138	1.873	8.305	12.362	68.110	0.684	2.523	8.980	水层	
地93-91	2400.750	97.461	65.000	15.590	84.410	9.010	8.640	228.855	0.128	1.696	8.155	12.131	68.703	0.681	2.529	9.040	水层	
地93-91	2400.875	98.949	65.078	16.255	83.745	9.084	8.746	227.560	0.111	1.491	7.865	11.839	69.468	0.678	2.545	9.115	水层	
地93-91	2401.000	101.698	65.135	17.175	82.825	9.160	8.838	226.914	0.093	1.332	7.512	11.593	70.118	0.675	2.563	9.181	水层	
地93-91	2401.125	103.754	65.122	17.817	82.183	9.213	8.883	226.874	0.084	1.256	7.294	11.465	70.447	0.673	2.577	9.220	水层	
地93-91	2401.250	104.734	65.026	17.971	82.029	9.230	8.877	226.926	0.080	1.239	7.197	11.436	70.551	0.673	2.583	9.221	水层	
地93-91	2401.375	104.223	64.844	17.603	82.397	9.206	8.822	226.857	0.082	1.272	7.243	11.498	70.476	0.675	2.583	9.176	水层	
地93-91	2401.500	102.723	64.583	16.939	83.061	9.132	8.721	226.800	0.088	1.355	7.393	11.648	70.274	0.680	2.579	9.080	水层	
地93-91	2401.625	100.684	64.263	16.211	83.789	9.000	8.577	227.174	0.100	1.490	7.644	11.879	69.976	0.688	2.574	8.930	水层	
