井名	深度	GR	SP	SH	SS	RILD	RILM	AC	PERM2024	PERM	POR2024	POR	SW	SW2024	DEN	RT	解释结论	层位
地检89-834	2438.875	103.644	57.322	19.119	80.881	13.938	13.519	221.501	0.064	0.010	6.745	8.732	61.881	0.473	2.622	14.807	差油层	
地检89-834	2439.000	105.378	56.699	19.993	80.007	13.989	13.428	224.510	0.068	0.010	6.878	9.520	58.827	0.492	2.625	14.019	差油层	
地检89-834	2439.125	105.925	56.139	20.372	79.628	13.917	13.439	226.397	0.073	1.083	7.018	10.043	56.690	0.501	2.629	13.709	差油层	
地检89-834	2439.250	105.520	55.521	20.331	79.669	13.678	13.540	226.611	0.076	1.163	7.083	10.137	55.851	0.496	2.632	13.891	差油层	
地检89-834	2439.375	103.487	54.772	19.516	80.484	13.307	13.634	225.492	0.079	0.010	7.177	9.867	56.023	0.480	2.636	14.494	差油层	
地检89-834	2439.500	102.753	53.875	18.958	81.042	12.899	13.550	224.050	0.076	0.010	7.104	9.478	56.701	0.463	2.638	15.212	差油层	
地检89-834	2439.625	106.634	52.872	20.287	79.713	12.541	13.235	223.548	0.061	0.010	6.648	9.314	57.277	0.460	2.631	15.383	差油层	
地检89-834	2439.750	108.861	51.883	21.337	78.663	12.311	12.737	224.374	0.057	0.010	6.502	9.493	57.555	0.475	2.617	14.722	差油层	
地检89-834	2439.875	106.237	51.004	20.553	79.447	12.222	12.177	226.235	0.071	0.010	6.969	9.951	57.519	0.505	2.601	13.540	差油层	
地检89-834	2440.000	103.762	50.301	19.744	80.256	12.226	11.715	228.474	0.091	1.311	7.460	10.525	57.141	0.539	2.581	12.400	差油层	
地检89-834	2440.125	104.271	49.823	20.025	79.975	12.267	11.446	230.343	0.097	1.634	7.601	11.019	56.604	0.565	2.564	11.635	差油层	
地检89-834	2440.250	106.244	49.514	20.651	79.349	12.298	11.418	231.426	0.093	1.888	7.509	11.317	55.854	0.574	2.556	11.387	差油层	
地检89-834	2440.375	112.135	49.322	22.717	77.283	12.318	11.614	231.606	0.070	2.037	6.915	11.383	54.463	0.558	2.558	11.852	差油层	
地检89-834	2440.500	118.169	49.179	25.753	74.247	12.364	11.940	231.090	0.050	2.073	6.233	11.259	52.696	0.524	2.563	12.913	差油层	
地检89-834	2440.625	107.136	49.016	21.863	78.137	12.488	12.240	230.421	0.085	2.076	7.311	11.078	50.818	0.485	2.566	14.296	差油层	
地检89-834	2440.750	88.332	48.804	15.370	84.630	12.745	12.455	230.204	0.219	2.158	9.245	11.006	49.123	0.455	2.562	15.482	差油层	
