井名	深度	GR	SP	SH	AT90	AC	PERM	POR	SW	#DEPTH	CNL	DEN	RT	解释结论	层位
塬3	2286.000	110.943	52.1	50.541	8.263	262.236	0.01	0.1	99.9	2286.0	23.17	2.489	8.028	水层	chang3
塬3	2286.125	119.857	53.114	59.42	7.665	271.171	0.01	0.1	99.9	2286.13	27.27	2.482	7.558		chang3
塬3	2286.250	127.232	53.917	66.483	7.505	273.999	0.01	0.1	99.9	2286.25	31.114	2.495	7.503		chang3
塬3	2286.375	130.312	54.476	68.395	7.764	269.672	0.01	0.1	99.9	2286.38	32.493	2.527	7.873		chang4+5
塬3	2286.500	127.294	54.795	63.198	8.457	258.689	0.01	0.1	99.9	2286.5	30.237	2.564	8.68		chang4+5
塬3	2286.625	121.966	54.908	57.74	9.65	243.355	0.01	0.1	99.9	2286.63	26.324	2.597	10.012		chang4+5
塬3	2286.750	117.027	54.904	52.99	11.244	227.971	0.01	0.1	99.9	2286.75	23.8	2.616	11.69		chang4+5
塬3	2286.875	111.314	54.879	47.349	12.786	216.873	0.01	0.1	99.9	2286.88	21.836	2.62	13.159		chang4+5
塬3	2287.000	107.561	54.9	44.952	13.556	213.149	0.01	0.1	99.9	2287.0	20.025	2.613	13.651		chang4+5
塬3	2287.125	108.597	55.01	47.062	13.17	218.961	0.01	0.1	99.9	2287.13	19.446	2.596	12.952		chang4+5
塬3	2287.250	112.077	55.195	50.41	12.052	232.706	0.01	0.1	99.9	2287.25	20.335	2.562	11.718		chang4+5
塬3	2287.375	118.296	55.409	57.438	10.909	250.672	0.01	0.1	99.9	2287.38	22.902	2.507	10.635		chang4+5
塬3	2287.500	127.665	55.603	68.187	10.104	268.847	0.01	0.1	99.9	2287.5	26.567	2.447	9.935		chang4+5
塬3	2287.625	135.186	55.731	75.52	9.72	282.658	0.01	0.1	99.9	2287.63	30.07	2.401	9.663		chang4+5
塬3	2287.750	139.688	55.775	80.399	9.733	289.656	0.01	0.1	99.9	2287.75	32.844	2.379	9.773		chang4+5
塬3	2287.875	144.324	55.738	86.916	10.108	289.749	0.01	0.1	99.9	2287.88	34.569	2.385	10.241		chang4+5
塬3	2288.000	148.105	55.622	91.238	10.782	284.387	0.01	0.1	99.9	2288.0	34.132	2.413	10.983		chang4+5
塬3	2288.125	146.078	55.416	85.723	11.621	276.211	0.01	0.1	99.9	2288.13	31.295	2.453	11.849		chang4+5
塬3	2288.250	139.471	55.124	76.527	12.383	268.287	0.01	0.1	99.9	2288.25	28.046	2.49	12.563		chang4+5
塬3	2288.375	132.858	54.757	69.194	12.792	262.593	0.01	0.1	99.9	2288.38	26.445	2.51	12.854		chang4+5
塬3	2288.500	129.236	54.326	66.243	12.724	259.581	0.01	0.1	99.9	2288.5	26.673	2.519	12.658		chang4+5
塬3	2288.625	128.582	53.836	66.211	12.259	258.48	0.01	0.1	99.9	2288.63	27.469	2.526	12.105		chang4+5
塬3	2288.750	129.3	53.283	67.222	11.622	257.541	0.01	0.1	99.9	2288.75	27.449	2.536	11.45		chang4+5
塬3	2288.875	130.497	52.642	68.661	11.056	255.224	0.01	0.1	99.9	2288.88	26.048	2.552	10.924		chang4+5
塬3	2289.000	131.03	51.875	68.892	10.7	250.843	0.01	0.1	99.9	2289.0	23.568	2.571	10.632		chang4+5
塬3	2289.125	129.264	50.937	66.074	10.628	244.557	0.01	0.1	99.9	2289.13	21.122	2.587	10.639		chang4+5
塬3	2289.250	126.747	49.858	63.493	10.863	237.56	0.01	0.1	99.9	2289.25	19.604	2.596	10.955		chang4+5
