井名	深度	GR	SP	SH	AT90	AC	PERM	POR	SW	CNL	DEN	RT	解释结论	层位
涧39	2229.625	119.36	69.229	85.66	9.734	236.412	0.01	0.1	99.9	29.049	2.539	9.794		chang3
涧39	2229.750	124.79	70.647	93.487	8.656	241.839	0.01	0.1	99.9	32.032	2.508	8.668		chang3
涧39	2229.875	126.946	72.006	95.002	8.447	242.84	0.01	0.1	99.9	33.458	2.484	8.444		chang3
涧39	2230.000	129.929	73.247	99.9	8.491	244.025	0.01	0.1	99.9	33.6	2.468	8.508		chang3
涧39	2230.125	135.594	74.287	99.9	8.146	249.309	0.01	0.1	99.9	33.428	2.455	8.181		chang4+5
涧39	2230.250	141.028	75.1	99.9	7.497	256.734	0.01	0.1	99.9	33.187	2.442	7.513		chang4+5
涧39	2230.375	146.733	75.719	99.9	7.22	260.297	0.01	0.1	99.9	32.976	2.429	7.205		chang4+5
涧39	2230.500	154.15	76.126	99.9	7.528	259.308	0.01	0.1	99.9	33.252	2.42	7.496		chang4+5
涧39	2230.625	157.601	76.318	99.9	8.113	258.055	0.01	0.1	99.9	33.899	2.416	8.093		chang4+5
涧39	2230.750	153.312	76.303	99.9	8.466	261.125	0.01	0.1	99.9	34.215	2.417	8.471		chang4+5
涧39	2230.875	145.158	76.187	99.9	8.361	267.151	0.01	0.1	99.9	34.278	2.422	8.377		chang4+5
涧39	2231.000	139.609	76.026	99.9	8.076	273.196	0.01	0.1	99.9	34.683	2.427	8.078		chang4+5
涧39	2231.125	138.411	75.862	99.9	8.062	277.494	0.01	0.1	99.9	35.563	2.431	8.045		chang4+5
涧39	2231.250	137.109	75.655	99.9	8.397	280.51	0.01	0.1	99.9	36.624	2.433	8.379		chang4+5
涧39	2231.375	132.464	75.393	99.9	8.72	283.048	0.01	0.1	99.9	37.632	2.435	8.718		chang4+5
涧39	2231.500	126.342	75.1	89.682	8.763	282.484	0.01	0.1	99.9	37.823	2.44	8.757		chang4+5
涧39	2231.625	122.334	74.803	84.923	8.924	274.717	0.01	0.1	99.9	35.891	2.452	8.87		chang4+5
涧39	2231.750	118.578	74.472	78.172	9.995	259.554	0.01	0.1	99.9	32.419	2.471	9.89		chang4+5
涧39	2231.875	114.404	74.101	71.955	11.969	245.76	0.01	0.1	99.9	29.341	2.495	11.883		chang4+5
涧39	2232.000	113.787	73.668	73.809	13.482	240.345	0.01	0.1	99.9	28.164	2.515	13.517		chang4+5
涧39	2232.125	116.47	73.162	79.045	12.738	245.39	0.01	0.1	99.9	29.235	2.523	12.848		chang4+5
涧39	2232.250	116.622	72.624	76.578	10.701	256.678	0.01	0.1	99.9	30.995	2.524	10.763		chang4+5
涧39	2232.375	109.728	72.069	62.73	9.646	263.661	0.01	0.1	99.9	31.182	2.529	9.586		chang4+5
涧39	2232.500	98.751	71.516	48.402	10.912	260.182	0.01	0.1	99.9	28.728	2.545	10.718		chang4+5
涧39	2232.625	90.936	71.001	42.119	14.626	247.769	0.01	0.1	99.9	24.92	2.568	14.392		chang4+5
涧39	2232.750	89.045	70.619	42.304	18.876	234.467	0.01	0.1	99.9	21.988	2.598	18.821		chang4+5
涧39	2232.875	91.215	70.425	45.771	19.783	226.482	0.01	0.1	99.9	20.858	2.628	19.858		chang4+5
涧39	2233.000	93.127	70.414	47.105	18.362	223.993	0.01	0.1	99.9	21.049	2.643	18.435		chang4+5
涧39	2233.125	94.292	70.576	48.391	16.987	225.578	0.01	0.1	99.9	21.624	2.633	17.058		chang4+5
涧39	2233.250	100.465	70.899	59.061	15.65	232.661	0.01	0.1	99.9	22.621	2.602	15.719		chang4+5
涧39	2233.375	112.793	71.302	79.133	14.364	246.62	0.01	0.1	99.9	25.144	2.526	14.414		chang4+5
涧39	2233.500	125.466	71.701	99.249	13.421	265.858	0.01	0.1	99.9	29.564	2.467	13.458		chang4+5
涧39	2233.625	134.946	72.027	99.9	12.716	283.434	0.01	0.1	99.9	33.763	2.376	12.754		chang4+5
涧39	2233.750	138.581	72.176	99.9	11.99	289.925	0.01	0.1	99.9	35.401	2.365	12.033		chang4+5
涧39	2233.875	135.396	72.148	99.9	11.177	285.912	0.01	0.1	99.9	34.449	2.387	11.215		chang4+5
涧39	2234.000	128.947	71.979	93.744	10.466	275.76	0.01	0.1	99.9	32.298	2.436	10.488		chang4+5
涧39	2234.125	123.073	71.663	84.733	10.078	263.701	0.01	0.1	99.9	29.917	2.506	10.076		chang4+5
涧39	2234.250	117.858	71.099	76.572	10.127	252.397	0.01	0.1	99.9	27.608	2.578	10.105		chang4+5
涧39	2234.375	114.558	70.325	73.117	10.546	243.955	0.01	0.1	99.9	25.658	2.634	10.516		chang4+5
涧39	2234.500	114.709	69.376	75.292	11.11	240.063	0.01	0.1	99.9	24.517	2.667	11.091		chang4+5
涧39	2234.625	116.645	68.279	78.64	11.461	240.427	0.01	0.1	99.9	24.607	2.678	11.456		chang4+5
涧39	2234.750	118.121	67.04	80.354	11.56	242.426	0.01	0.1	99.9	25.348	2.68	11.547		chang4+5
涧39	2234.875	118.166	65.756	79.545	11.811	242.995	0.01	0.1	99.9	25.631	2.675	11.79		chang4+5
涧39	2235.000	114.164	64.478	70.737	12.205	241.385	0.01	0.1	99.9	24.861	2.666	12.193		chang4+5
涧39	2235.125	106.224	63.274	58.469	12.424	238.22	0.01	0.1	99.9	23.399	2.661	12.417		chang4+5
涧39	2235.250	96.888	62.179	47.154	12.564	234.84	0.01	0.1	99.9	21.992	2.661	12.542		chang4+5
涧39	2235.375	92.163	61.115	44.75	12.983	232.354	0.01	0.1	99.9	21.029	2.665	12.952		chang4+5
涧39	2235.500	93.673	60.058	48.61	13.568	230.937	0.01	0.1	99.9	20.603	2.67	13.558		chang4+5
涧39	2235.625	96.592	59.007	51.641	13.728	230.312	0.01	0.1	99.9	20.834	2.673	13.748		chang4+5
涧39	2235.750	99.561	57.953	55.441	13.347	230.455	0.01	0.1	99.9	21.743	2.67	13.371		chang4+5
涧39	2235.875	103.047	56.919	60.062	12.912	231.568	0.01	0.1	99.9	23.074	2.663	12.913		chang4+5
涧39	2236.000	103.465	55.943	58.381	12.937	233.582	0.01	0.1	99.9	24.131	2.659	12.902		chang4+5
涧39	2236.125	98.354	55.085	49.742	13.654	235.242	0.01	0.1	99.9	23.863	2.654	13.577		chang4+5
涧39	2236.250	90.535	54.417	40.834	15.133	233.551	0.01	0.1	99.9	22.183	2.646	15.036		chang4+5
涧39	2236.375	81.874	53.869	32.21	16.951	227.655	0.01	0.1	99.9	19.794	2.64	16.876		chang4+5
涧39	2236.500	74.812	53.334	26.918	18.266	220.06	0.01	0.1	99.9	17.54	2.636	18.281		chang4+5
涧39	2236.625	73.588	52.712	28.064	17.888	215.994	0.01	0.1	99.9	16.4	2.633	17.997		chang4+5
涧39	2236.750	80.235	51.889	36.673	15.819	220.443	0.01	0.1	99.9	16.923	2.634	15.926		chang4+5
涧39	2236.875	90.668	50.804	48.147	13.862	230.007	0.01	0.1	99.9	18.808	2.637	13.904		chang4+5
涧39	2237.000	98.636	49.423	55.682	13.112	238.899	0.01	0.1	99.9	20.948	2.642	13.112		chang4+5
涧39	2237.125	100.302	47.789	54.643	13.152	242.243	0.01	0.1	99.9	22.084	2.648	13.117		chang4+5
涧39	2237.250	96.272	45.96	47.93	13.871	237.64	0.01	0.1	99.9	22.182	2.651	13.781		chang4+5
涧39	2237.375	87.951	44.083	37.7	15.631	228.148	0.01	0.1	99.9	21.607	2.648	15.473		chang4+5
涧39	2237.500	76.439	42.234	26.419	18.627	216.835	0.01	0.1	99.9	20.448	2.638	18.469		chang4+5
