井名	深度	GR	SP	SH	AT90	AC	PERM	POR	SW	CNL	DEN	RT	解释结论	层位
罗160	2359.625	105.338	69.404	58.232	13.437	236.726	0.01	0.1	99.9	21.564	2.542	13.905		chang3
罗160	2359.750	117.734	69.842	73.851	13.971	242.268	0.01	0.1	99.9	24.076	2.518	14.032		chang3
罗160	2359.875	130.132	70.229	93.639	13.324	255.196	0.01	0.1	99.9	29.369	2.486	12.67		chang3
罗160	2360.000	143.252	70.454	99.9	11.927	276.046	0.01	0.1	99.9	37.201	2.445	11.239		chang3
罗160	2360.125	153.894	70.538	99.9	11.227	299.244	0.01	0.1	99.9	44.526	2.401	11.215		chang4+5
罗160	2360.250	156.503	70.545	99.9	12.154	315.905	0.01	0.1	99.9	47.193	2.366	13.021		chang4+5
罗160	2360.375	149.544	70.474	99.9	14.489	319.398	0.01	0.1	99.9	44.084	2.354	15.847		chang4+5
罗160	2360.500	137.773	70.346	86.357	16.639	307.256	0.01	0.1	99.9	37.891	2.369	17.373		chang4+5
罗160	2360.625	125.782	70.177	69.319	16.996	284.796	0.01	0.1	99.9	31.892	2.41	16.647		chang4+5
罗160	2360.750	113.934	69.984	54.223	16.179	260.948	0.01	0.1	99.9	27.141	2.471	15.747		chang4+5
罗160	2360.875	102.373	69.751	42.276	15.983	241.501	0.01	0.1	99.9	23.743	2.534	16.203		chang4+5
罗160	2361.000	96.977	69.501	42.166	17.049	229.535	0.01	0.1	99.9	21.926	2.581	17.833		chang4+5
罗160	2361.125	101.532	69.257	51.546	18.569	224.96	0.01	0.1	99.9	21.396	2.606	19.25		chang4+5
罗160	2361.250	110.539	69.055	62.425	19.35	225.615	0.01	0.1	99.9	21.477	2.619	19.443		chang4+5
罗160	2361.375	117.336	68.947	68.468	19.183	228.605	0.01	0.1	99.9	21.717	2.629	18.943		chang4+5
罗160	2361.500	119.413	68.943	68.08	18.668	230.539	0.01	0.1	99.9	21.87	2.64	18.413		chang4+5
罗160	2361.625	118.68	68.997	66.562	18.128	230.132	0.01	0.1	99.9	21.88	2.646	17.863		chang4+5
罗160	2361.750	118.468	69.113	67.42	17.517	228.667	0.01	0.1	99.9	21.994	2.643	17.197		chang4+5
罗160	2361.875	121.116	69.358	73.586	16.593	228.573	0.01	0.1	99.9	22.709	2.63	16.035		chang4+5
罗160	2362.000	123.929	69.703	75.369	14.806	233.52	0.01	0.1	99.9	24.56	2.609	13.67		chang4+5
罗160	2362.125	124.995	70.169	76.661	12.195	245.245	0.01	0.1	99.9	27.55	2.589	10.83		chang4+5
罗160	2362.250	126.395	70.749	79.404	9.991	260.456	0.01	0.1	99.9	30.363	2.58	9.214		chang4+5
罗160	2362.375	127.437	71.376	79.823	9.197	272.148	0.01	0.1	99.9	31.698	2.585	9.18		chang4+5
罗160	2362.500	127.307	71.941	79.062	10.029	273.621	0.01	0.1	99.9	31.624	2.599	10.813		chang4+5
罗160	2362.625	130.125	72.462	88.162	12.339	266.889	0.01	0.1	99.9	31.099	2.609	13.751		chang4+5
罗160	2362.750	138.013	72.92	99.9	15.36	260.832	0.01	0.1	99.9	31.048	2.603	16.849		chang4+5
罗160	2362.875	147.531	73.237	99.9	17.557	261.479	0.01	0.1	99.9	31.797	2.576	18.213		chang4+5
