井名	深度	SH	SS	RT	AC	GR	SP	PERM	POR	SW	DEN	CNL	CAL	RT.1	解释结论	层位
耿166	2418.875	99.9	0.1	12.868	236.51	125.137	145.223	0.01	0.1	99.9	2.713	21.38	24.04	12.811		
耿166	2419.000	99.9	0.1	13.012	241.208	128.92	145.483	0.01	0.1	99.9	2.707	21.885	24.022	12.953		
耿166	2419.125	99.9	0.1	13.143	246.785	131.017	145.731	0.01	0.1	99.9	2.687	22.795	24.02	13.101		
耿166	2419.250	99.9	0.1	13.205	252.44	130.259	145.933	0.01	0.1	99.9	2.641	24.319	24.032	13.206		
耿166	2419.375	99.9	0.1	13.173	255.909	127.37	146.066	0.01	0.1	99.9	2.584	26.278	24.061	13.205		
耿166	2419.500	99.9	0.1	13.038	256.29	122.847	146.115	0.01	0.1	99.9	2.55	28.105	24.113	13.126		长4+5!1^(1_1)
耿166	2419.625	92.657	7.343	12.752	253.789	116.731	146.063	0.01	0.1	99.9	2.548	28.275	24.181	12.905		长4+5!1^(1_1)
耿166	2419.750	81.981	18.019	12.364	249.803	111.622	145.901	0.01	0.1	99.9	2.525	27.6	24.237	12.524		长4+5!1^(1_1)
耿166	2419.875	74.137	25.863	11.985	246.157	107.556	145.627	0.01	0.1	99.9	2.47	26.523	24.257	12.125		长4+5!1^(1_1)
耿166	2420.000	71.988	28.012	11.646	244.431	106.39	145.249	0.01	0.1	99.9	2.421	25.648	24.239	11.776		长4+5!1^(1_1)
耿166	2420.125	72.615	27.385	11.356	244.025	106.733	144.77	0.01	0.1	99.9	2.407	24.823	24.197	11.453		长4+5!1^(1_1)
耿166	2420.250	76.193	23.807	11.179	243.908	108.65	144.196	0.01	0.1	99.9	2.43	25.193	24.139	11.212		长4+5!1^(1_1)
耿166	2420.375	75.713	24.287	11.132	242.429	108.396	143.524	0.01	0.1	99.9	2.477	26.045	24.06	11.131		长4+5!1^(1_1)
耿166	2420.500	70.06	29.94	11.154	238.941	105.324	142.749	0.01	0.1	99.9	2.544	26.618	23.955	11.135		长4+5!1^(1_1)
耿166	2420.625	59.477	40.523	11.225	233.861	99.093	141.869	0.01	0.1	99.9	2.597	26.032	23.839	11.184		长4+5!1^(1_1)
耿166	2420.750	54.108	45.892	11.344	228.425	95.654	140.878	0.01	0.1	99.9	2.61	24.457	23.743	11.287		长4+5!1^(1_1)
耿166	2420.875	65.033	34.967	11.536	223.57	102.448	139.763	0.01	0.1	99.9	2.6	22.906	23.674	11.431		长4+5!1^(1_1)
耿166	2421.000	93.488	6.512	11.926	219.689	117.11	138.523	0.01	0.1	99.9	2.597	21.82	23.612	11.693		长4+5!1^(1_1)
耿166	2421.125	99.9	0.1	12.609	216.162	132.136	137.181	0.01	0.1	99.9	2.6	20.699	23.547	12.275		长4+5!1^(1_1)
耿166	2421.250	99.9	0.1	13.406	212.473	138.714	135.774	0.01	0.1	99.9	2.609	19.991	23.5	13.11		长4+5!1^(1_1)
耿166	2421.375	99.9	0.1	14.056	208.399	135.66	134.367	0.01	0.1	99.9	2.616	19.424	23.51	13.849		长4+5!1^(1_1)
耿166	2421.500	99.9	0.1	14.471	203.274	120.186	133.033	0.01	0.1	99.9	2.621	18.401	23.594	14.366		长4+5!1^(1_1)
耿166	2421.625	55.755	44.245	14.625	197.697	96.731	131.837	0.01	0.1	99.9	2.609	16.103	23.716	14.63		长4+5!1^(1_1)
耿166	2421.750	25.13	74.87	14.54	191.487	72.422	130.845	0.01	0.1	99.9	2.519	13.394	23.849	14.617		长4+5!1^(1_1)
耿166	2421.875	12.324	87.676	14.259	185.79	58.156	130.119	0.01	0.1	99.9	2.341	10.646	23.998	14.424		长4+5!1^(1_1)
耿166	2422.000	7.215	92.785	13.675	181.908	51.307	129.698	0.01	0.1	99.9	2.156	8.544	24.167	14.012		长4+5!1^(1_1)
