井名	深度	SH	SS	RT	RT	PERM2024	PERM	POR2024	POR	SW	SW2024	AC	SP	CAL	GR	DEN	CNL	RT	解释结论	层位
耿181	2367.125	99.9	0.1	7.881	6.979	0.0	0.01	0.0	0.1	99.9	0.0	271.718	110.761	22.458	144.357	2.176	31.43	7.881		
耿181	2367.250	95.66	4.34	7.748	7.093	0.0	0.01	0.0	0.1	99.9	0.0	271.126	111.107	22.522	138.58	2.15	36.537	7.748		长4+5!1^(1_1)
耿181	2367.375	80.494	19.506	7.712	7.415	0.0	0.01	0.0	0.1	99.9	0.0	271.413	111.368	22.615	128.504	2.187	36.225	7.712		长4+5!1^(1_1)
耿181	2367.500	65.774	34.226	7.739	7.751	0.0	0.01	0.0	0.1	99.9	0.0	272.504	111.551	22.729	118.601	2.26	31.389	7.739		长4+5!1^(1_1)
耿181	2367.625	61.857	38.143	7.831	8.006	0.0	0.01	0.0	0.1	99.9	0.0	271.023	111.653	22.809	115.686	2.339	28.626	7.831		长4+5!1^(1_1)
耿181	2367.750	66.051	33.949	8.001	8.275	0.0	0.01	0.0	0.1	99.9	0.0	266.179	111.693	22.788	118.774	2.42	29.378	8.001		长4+5!1^(1_1)
耿181	2367.875	69.441	30.559	8.274	8.665	0.0	0.01	0.0	0.1	99.9	0.0	260.7	111.679	22.631	121.22	2.484	30.394	8.274		长4+5!1^(1_1)
耿181	2368.000	65.709	34.291	8.661	9.191	0.0	0.01	0.0	0.1	99.9	0.0	256.294	111.615	22.364	118.554	2.512	29.699	8.661		长4+5!1^(1_1)
耿181	2368.125	59.987	40.013	9.166	9.775	0.0	0.01	0.0	0.1	99.9	0.0	252.459	111.502	22.079	114.258	2.528	27.33	9.165		长4+5!1^(1_1)
耿181	2368.250	56.42	43.58	9.746	10.338	0.0	0.01	0.0	0.1	99.9	0.0	247.846	111.353	21.868	111.449	2.549	24.769	9.747		长4+5!1^(1_1)
耿181	2368.375	53.137	46.863	10.38	10.901	0.0	0.01	0.0	0.1	99.9	0.0	242.575	111.175	21.757	108.76	2.579	23.351	10.38		长4+5!1^(1_1)
耿181	2368.500	47.985	52.015	11.038	11.52	0.0	0.01	0.0	0.1	99.9	0.0	237.7	110.971	21.716	104.331	2.601	22.545	11.038		长4+5!1^(1_1)
耿181	2368.625	43.266	56.734	11.69	12.224	0.0	0.01	0.0	0.1	99.9	0.0	234.302	110.745	21.702	100.016	2.61	21.767	11.69		长4+5!1^(1_1)
耿181	2368.750	41.394	58.606	12.298	12.952	0.0	0.01	0.0	0.1	99.9	0.0	232.227	110.508	21.689	98.233	2.613	21.234	12.299		长4+5!1^(1_1)
耿181	2368.875	42.566	57.434	12.842	13.66	0.0	0.01	0.0	0.1	99.9	0.0	230.846	110.264	21.678	99.35	2.617	20.67	12.842		长4+5!1^(1_1)
耿181	2369.000	43.232	56.768	13.305	14.33	0.0	0.01	0.0	0.1	99.9	0.0	229.605	110.018	21.671	99.986	2.619	20.194	13.305		长4+5!1^(1_1)
耿181	2369.125	40.15	59.85	13.669	14.956	0.0	0.01	0.0	0.1	99.9	0.0	228.474	109.777	21.668	97.017	2.618	19.835	13.669		长4+5!1^(1_1)
耿181	2369.250	37.048	62.952	13.933	15.5	0.0	0.01	0.0	0.1	99.9	0.0	227.599	109.546	21.669	93.908	2.617	19.477	13.933		长4+5!1^(1_1)
耿181	2369.375	36.958	63.042	14.076	15.874	0.0	0.01	0.0	0.1	99.9	0.0	227.145	109.329	21.672	93.816	2.622	19.155	14.076		长4+5!1^(1_1)
耿181	2369.500	39.562	60.438	14.085	15.978	0.0	0.01	0.0	0.1	99.9	0.0	227.303	109.131	21.685	96.443	2.625	19.093	14.085		长4+5!1^(1_1)
耿181	2369.625	43.944	56.056	13.93	15.708	0.0	0.01	0.0	0.1	99.9	0.0	228.192	108.956	21.724	100.619	2.626	19.54	13.93		长4+5!1^(1_1)
耿181	2369.750	50.664	49.336	13.632	15.15	0.0	0.01	0.0	0.1	99.9	0.0	229.818	108.792	21.791	106.608	2.624	20.154	13.632		长4+5!1^(1_1)
耿181	2369.875	58.731	41.269	13.136	14.249	0.0	0.01	0.0	0.1	99.9	0.0	232.719	108.656	21.878	113.237	2.624	20.508	13.136		长4+5!1^(1_1)
耿181	2370.000	69.864	30.136	12.535	13.161	0.0	0.01	0.0	0.1	99.9	0.0	236.712	108.56	21.969	121.518	2.619	20.648	12.535		长4+5!1^(1_1)
耿181	2370.125	82.167	17.833	11.931	12.006	0.0	0.01	0.0	0.1	99.9	0.0	241.708	108.491	22.075	129.587	2.609	21.032	11.931		长4+5!1^(1_1)
耿181	2370.250	92.072	7.928	11.374	10.908	0.0	0.01	0.0	0.1	99.9	0.0	247.346	108.445	22.201	135.555	2.577	22.066	11.374		长4+5!1^(1_1)
耿181	2370.375	95.322	4.678	10.916	10.075	0.0	0.01	0.0	0.1	99.9	0.0	253.194	108.417	22.319	137.423	2.536	23.916	10.916		长4+5!1^(1_1)
