井名	深度	GR	SP	SH	SS	RT	RT.1	AC	PERM2024	PERM	POR2024	POR	SW	SW2024	CAL	DEN	CNL	RT.2	解释结论	层位
耿203	2224.000	93.915	47.542	59.326	40.674	8.921	7.948	265.782	0.0	0.01	0.0	0.1	99.9	0.0	27.031	2.371	31.652	9.322		
耿203	2224.125	100.244	49.309	69.924	30.076	9.497	8.344	279.329	0.0	0.01	0.0	0.1	99.9	0.0	27.292	2.357	36.868	9.758		
耿203	2224.250	106.636	50.604	83.17	16.83	9.842	8.792	287.559	0.0	0.01	0.0	0.1	99.9	0.0	27.687	2.343	40.927	9.966		
耿203	2224.375	113.037	51.625	91.819	8.181	9.984	8.921	291.039	0.0	0.01	0.0	0.1	99.9	0.0	28.061	2.323	41.783	10.009		
耿203	2224.500	116.731	52.848	96.086	3.914	9.993	8.365	288.949	0.0	0.01	0.0	0.1	99.9	0.0	28.386	2.29	39.76	9.967		
耿203	2224.625	118.403	54.027	97.473	2.527	9.912	7.577	284.429	0.0	0.01	0.0	0.1	99.9	0.0	28.787	2.235	37.441	9.83		长4+5!1^(1_1)
耿203	2224.750	117.943	54.78	87.066	12.934	9.716	7.014	282.716	0.0	0.01	0.0	0.1	99.9	0.0	29.305	2.126	38.873	9.544		长4+5!1^(1_1)
耿203	2224.875	112.894	55.284	74.967	25.033	9.263	6.805	285.346	0.0	0.01	0.0	0.1	99.9	0.0	29.806	2.001	45.342	8.842		长4+5!1^(1_1)
耿203	2225.000	107.035	55.853	66.251	33.749	8.61	6.718	293.597	0.0	0.01	0.0	0.1	99.9	0.0	30.301	1.927	52.527	8.261		长4+5!1^(1_1)
耿203	2225.125	102.195	56.406	58.25	41.75	8.089	6.389	300.786	0.0	0.01	0.0	0.1	99.9	0.0	30.941	1.902	55.612	7.831		长4+5!1^(1_1)
耿203	2225.250	97.381	56.775	51.036	48.964	7.7	5.886	299.813	0.0	0.01	0.0	0.1	99.9	0.0	31.644	1.908	52.758	7.503		长4+5!1^(1_1)
耿203	2225.375	92.993	57.061	46.769	53.231	7.417	5.489	291.489	0.0	0.01	0.0	0.1	99.9	0.0	32.04	1.928	47.222	7.289		长4+5!1^(1_1)
耿203	2225.500	90.053	57.38	43.078	56.922	7.26	5.442	274.202	0.0	0.01	0.0	0.1	99.9	0.0	32.099	1.939	44.825	7.217		长4+5!1^(1_1)
耿203	2225.625	87.433	57.666	40.209	59.791	7.217	5.773	255.68	0.0	0.01	0.0	0.1	99.9	0.0	31.947	1.941	47.689	7.216		长4+5!1^(1_1)
耿203	2225.750	85.941	57.882	42.0	58.0	7.231	6.281	243.926	0.0	0.01	0.0	0.1	99.9	0.0	31.592	1.964	54.785	7.254		长4+5!1^(1_1)
耿203	2225.875	87.691	58.102	46.298	53.702	7.377	6.905	235.999	0.0	0.01	0.0	0.1	99.9	0.0	31.183	2.024	61.052	7.562		长4+5!1^(1_1)
耿203	2226.000	90.719	58.385	49.577	50.423	7.705	7.698	226.265	0.0	0.01	0.0	0.1	99.9	0.0	30.741	2.103	60.387	7.919		长4+5!1^(1_1)
耿203	2226.125	92.968	58.643	52.396	47.604	8.074	8.692	216.751	0.0	0.01	0.0	0.1	99.9	0.0	30.024	2.187	53.385	8.306		长4+5!1^(1_1)
耿203	2226.250	95.1	58.763	56.885	43.115	8.509	10.04	211.668	0.0	0.01	0.0	0.1	99.9	0.0	28.953	2.271	43.692	8.813		长4+5!1^(1_1)
耿203	2226.375	97.731	58.755	59.055	40.945	9.153	12.194	210.657	0.0	0.01	0.0	0.1	99.9	0.0	27.961	2.338	34.439	9.66		长4+5!1^(1_1)
耿203	2226.500	98.754	58.676	58.449	41.551	9.927	14.855	214.129	0.0	0.01	0.0	0.1	99.9	0.0	27.217	2.376	28.384	10.325		长4+5!1^(1_1)
耿203	2226.625	98.119	58.545	55.844	44.156	10.51	16.435	219.959	0.0	0.01	0.0	0.1	99.9	0.0	26.514	2.413	25.362	10.787		长4+5!1^(1_1)
耿203	2226.750	95.639	58.329	47.356	52.644	10.995	16.75	224.612	0.0	0.01	0.0	0.1	99.9	0.0	25.89	2.458	23.427	11.306		长4+5!1^(1_1)
耿203	2226.875	90.003	58.01	40.547	59.453	11.537	15.946	227.948	0.0	0.01	0.0	0.1	99.9	0.0	25.543	2.486	21.83	11.883		长4+5!1^(1_1)
耿203	2227.000	85.598	57.527	38.454	61.546	12.006	14.457	232.102	0.0	0.01	0.0	0.1	99.9	0.0	25.436	2.487	20.916	12.19		长4+5!1^(1_1)
耿203	2227.125	84.209	57.015	38.066	61.934	12.231	13.406	237.322	0.0	0.01	0.0	0.1	99.9	0.0	25.368	2.477	20.882	12.293		长4+5!1^(1_1)
耿203	2227.250	84.373	56.726	40.69	59.31	12.299	12.899	242.56	0.0	0.01	0.0	0.1	99.9	0.0	25.3	2.462	22.024	12.307		长4+5!1^(1_1)
耿203	2227.375	86.642	56.614	44.667	55.333	12.17	12.643	247.72	0.0	0.01	0.0	0.1	99.9	0.0	25.238	2.449	24.089	11.965		长4+5!1^(1_1)
耿203	2227.500	89.639	56.535	48.69	51.31	11.793	12.597	252.451	0.0	0.01	0.0	0.1	99.9	0.0	25.181	2.45	25.702	11.535		长4+5!1^(1_1)
耿203	2227.625	92.655	56.483	53.779	46.221	11.423	12.7	254.488	0.0	0.01	0.0	0.1	99.9	0.0	25.096	2.464	25.978	11.255		长4+5!1^(1_1)
耿203	2227.750	95.959	56.5	57.827	42.173	11.182	12.857	252.499	0.0	0.01	0.0	0.1	99.9	0.0	24.971	2.494	24.869	11.073		长4+5!1^(1_1)
