井名	深度	SH	SS	RT	RT.1	AC	PERM	POR	SW	SP	GR	CAL	DEN	CNL	RT.2	解释结论	层位
耿207	2312.625	52.812	47.188	16.418	16.628	225.154	0.01	0.1	99.9	107.497	104.926	21.761	2.638	19.274	16.27		
耿207	2312.750	56.285	43.715	16.174	16.235	227.919	0.01	0.1	99.9	107.672	109.656	21.764	2.62	20.641	16.053		
耿207	2312.875	56.424	43.576	16.001	15.835	230.335	0.01	0.1	99.9	107.876	110.766	21.756	2.589	22.376	15.947		
耿207	2313.000	52.446	47.554	15.94	15.541	232.119	0.01	0.1	99.9	108.107	107.039	21.744	2.556	23.65	15.942		长4+5!1^(1_1)
耿207	2313.125	45.813	54.187	15.958	15.442	233.485	0.01	0.1	99.9	108.365	98.83	21.743	2.533	23.379	15.975		长4+5!1^(1_1)
耿207	2313.250	40.536	59.464	15.977	15.556	234.408	0.01	0.1	99.9	108.642	91.062	21.757	2.522	21.725	15.949		长4+5!1^(1_1)
耿207	2313.375	38.722	61.278	15.889	15.786	234.496	0.01	0.1	99.9	108.933	87.489	21.775	2.523	20.339	15.765		长4+5!1^(1_1)
耿207	2313.500	40.455	59.545	15.637	15.907	233.767	0.01	0.1	99.9	109.234	89.287	21.786	2.524	20.125	15.419		长4+5!1^(1_1)
耿207	2313.625	43.757	56.243	15.241	15.687	233.037	0.01	0.1	99.9	109.541	94.031	21.796	2.519	20.732	14.966		长4+5!1^(1_1)
耿207	2313.750	45.902	54.098	14.774	15.02	233.352	0.01	0.1	99.9	109.845	97.201	21.828	2.505	20.645	14.503		长4+5!1^(1_1)
耿207	2313.875	46.992	53.008	14.342	14.032	234.937	0.01	0.1	99.9	110.143	98.405	21.933	2.49	19.332	14.123		长4+5!1^(1_1)
耿207	2314.000	49.378	50.622	14.005	13.113	237.046	0.01	0.1	99.9	110.428	100.481	22.085	2.481	18.051	13.842		长4+5!1^(1_1)
耿207	2314.125	54.735	45.265	13.752	12.621	238.795	0.01	0.1	99.9	110.692	106.829	22.17	2.485	18.625	13.617		长4+5!1^(1_1)
耿207	2314.250	59.476	40.524	13.527	12.642	239.821	0.01	0.1	99.9	110.932	113.129	22.118	2.501	20.978	13.378		长4+5!1^(1_1)
耿207	2314.375	59.955	40.045	13.26	12.936	240.294	0.01	0.1	99.9	111.143	114.536	21.994	2.526	22.742	13.07		长4+5!1^(1_1)
耿207	2314.500	57.284	42.716	12.927	13.119	240.288	0.01	0.1	99.9	111.324	111.461	21.918	2.551	23.168	12.711		长4+5!1^(1_1)
耿207	2314.625	55.828	44.172	12.566	12.996	239.494	0.01	0.1	99.9	111.464	109.117	21.908	2.575	22.993	12.363		长4+5!1^(1_1)
耿207	2314.750	57.292	42.708	12.245	12.658	237.731	0.01	0.1	99.9	111.567	110.338	21.911	2.59	22.913	12.1		长4+5!1^(1_1)
耿207	2314.875	60.454	39.546	12.045	12.357	235.558	0.01	0.1	99.9	111.635	113.649	21.889	2.597	22.668	11.994		长4+5!1^(1_1)
耿207	2315.000	64.462	35.538	12.003	12.254	233.726	0.01	0.1	99.9	111.667	117.703	21.846	2.597	21.878	12.045		长4+5!1^(1_1)
耿207	2315.125	68.724	31.276	12.113	12.331	232.301	0.01	0.1	99.9	111.66	122.595	21.805	2.595	20.739	12.236		长4+5!1^(1_1)
耿207	2315.250	69.842	30.158	12.348	12.503	230.998	0.01	0.1	99.9	111.623	124.632	21.784	2.592	19.765	12.53		长4+5!1^(1_1)
耿207	2315.375	66.658	33.342	12.671	12.724	229.705	0.01	0.1	99.9	111.561	121.955	21.776	2.589	19.424	12.889		长4+5!1^(1_1)
耿207	2315.500	62.133	37.867	13.042	12.999	228.352	0.01	0.1	99.9	111.477	116.748	21.772	2.591	19.678	13.273		长4+5!1^(1_1)
耿207	2315.625	60.193	39.807	13.429	13.349	226.937	0.01	0.1	99.9	111.376	114.282	21.772	2.596	19.943	13.664		长4+5!1^(1_1)
耿207	2315.750	59.469	40.531	13.82	13.779	225.373	0.01	0.1	99.9	111.266	113.813	21.776	2.603	19.679	14.053		长4+5!1^(1_1)
耿207	2315.875	57.176	42.824	14.21	14.29	223.417	0.01	0.1	99.9	111.152	111.739	21.78	2.608	19.138	14.445		长4+5!1^(1_1)
