井名	深度	GR	SP	SH	SS	RT	RT.1	PERM2024	PERM	POR2024	POR	SW	SW2024	AC	DEN	CAL	CNL	RT.2	解释结论	层位
耿219	2414.500	139.716	84.806	99.418	0.582	18.572	16.509	0.0	0.01	0.0	0.1	99.9	0.0	274.935	2.414	23.143	40.374	18.572		
耿219	2414.625	146.794	84.764	99.9	0.1	18.485	16.996	0.0	0.01	0.0	0.1	99.9	0.0	287.27	2.405	23.176	49.464	18.485		
耿219	2414.750	153.17	84.713	99.9	0.1	18.185	17.297	0.0	0.01	0.0	0.1	99.9	0.0	300.391	2.39	23.196	59.759	18.185		
耿219	2414.875	154.38	84.692	99.9	0.1	18.146	17.627	0.0	0.01	0.0	0.1	99.9	0.0	307.605	2.371	23.172	68.529	18.146		
耿219	2415.000	152.005	84.705	99.9	0.1	18.186	17.736	0.0	0.01	0.0	0.1	99.9	0.0	306.552	2.363	23.13	65.887	18.186		
耿219	2415.125	150.274	84.657	99.9	0.1	18.379	18.154	0.0	0.01	0.0	0.1	99.9	0.0	302.243	2.364	23.083	59.908	18.379		
耿219	2415.250	145.633	84.448	99.9	0.1	18.639	18.828	0.0	0.01	0.0	0.1	99.9	0.0	291.041	2.388	23.048	53.595	18.639		
耿219	2415.375	137.926	84.141	95.808	4.192	18.894	19.72	0.0	0.01	0.0	0.1	99.9	0.0	277.701	2.433	23.037	43.35	18.894		
耿219	2415.500	130.024	83.905	81.008	18.992	19.121	20.282	0.0	0.01	0.0	0.1	99.9	0.0	267.519	2.474	23.043	37.839	19.121		长4+5!1^(1_1)
耿219	2415.625	121.079	83.61	66.291	33.709	19.518	19.891	0.0	0.01	0.0	0.1	99.9	0.0	256.945	2.516	23.038	33.617	19.518		长4+5!1^(1_1)
耿219	2415.750	112.037	83.073	53.338	46.662	19.814	19.523	0.0	0.01	0.0	0.1	99.9	0.0	242.313	2.563	23.01	29.907	19.814		长4+5!1^(1_1)
耿219	2415.875	105.619	82.353	45.18	54.82	19.988	19.045	0.0	0.01	0.0	0.1	99.9	0.0	228.823	2.605	22.908	24.921	19.988		长4+5!1^(1_1)
耿219	2416.000	102.753	81.805	41.789	58.211	19.847	18.873	0.0	0.01	0.0	0.1	99.9	0.0	223.213	2.619	22.855	22.654	19.847		长4+5!1^(1_1)
耿219	2416.125	101.731	81.284	40.617	59.383	19.138	17.94	0.0	0.01	0.0	0.1	99.9	0.0	220.523	2.623	22.822	21.563	19.138		长4+5!1^(1_1)
耿219	2416.250	103.322	80.72	42.451	57.549	18.509	16.794	0.0	0.01	0.0	0.1	99.9	0.0	223.327	2.621	22.811	21.159	18.509		长4+5!1^(1_1)
耿219	2416.375	107.535	80.212	47.532	52.468	17.886	15.619	0.0	0.01	0.0	0.1	99.9	0.0	230.996	2.613	22.836	22.94	17.886		长4+5!1^(1_1)
耿219	2416.500	112.702	80.0	54.231	45.769	17.352	14.857	0.0	0.01	0.0	0.1	99.9	0.0	239.255	2.606	22.86	25.674	17.352		长4+5!1^(1_1)
耿219	2416.625	117.309	79.877	60.671	39.329	16.128	14.673	0.0	0.01	0.0	0.1	99.9	0.0	248.216	2.597	22.88	29.192	16.128		长4+5!1^(1_1)
耿219	2416.750	119.812	79.84	64.366	35.634	15.646	14.492	0.0	0.01	0.0	0.1	99.9	0.0	253.516	2.589	22.892	32.937	15.646		长4+5!1^(1_1)
耿219	2416.875	125.398	79.88	73.144	26.856	15.168	14.218	0.0	0.01	0.0	0.1	99.9	0.0	265.308	2.585	22.87	36.661	15.168		长4+5!1^(1_1)
耿219	2417.000	129.516	79.986	80.116	19.884	14.764	13.994	0.0	0.01	0.0	0.1	99.9	0.0	267.08	2.587	22.836	37.434	14.764		长4+5!1^(1_1)
耿219	2417.125	133.448	80.12	87.2	12.8	14.248	14.146	0.0	0.01	0.0	0.1	99.9	0.0	266.695	2.592	22.794	37.192	14.248		长4+5!1^(1_1)
耿219	2417.250	133.022	80.214	86.413	13.587	14.144	14.541	0.0	0.01	0.0	0.1	99.9	0.0	265.387	2.599	22.75	37.296	14.144		长4+5!1^(1_1)
耿219	2417.375	128.993	80.189	79.206	20.794	14.045	14.766	0.0	0.01	0.0	0.1	99.9	0.0	263.483	2.602	22.678	38.398	14.045		长4+5!1^(1_1)
耿219	2417.500	127.208	80.031	76.155	23.845	13.933	14.718	0.0	0.01	0.0	0.1	99.9	0.0	262.861	2.601	22.644	38.981	13.933		长4+5!1^(1_1)
耿219	2417.625	127.213	79.817	76.162	23.838	14.056	13.866	0.0	0.01	0.0	0.1	99.9	0.0	261.741	2.597	22.617	38.671	14.056		长4+5!1^(1_1)
耿219	2417.750	126.061	79.502	74.237	25.763	14.225	13.6	0.0	0.01	0.0	0.1	99.9	0.0	259.445	2.593	22.594	37.506	14.225		长4+5!1^(1_1)
耿219	2417.875	119.519	79.078	63.926	36.074	14.416	13.568	0.0	0.01	0.0	0.1	99.9	0.0	250.948	2.592	22.57	33.889	14.416		长4+5!1^(1_1)
耿219	2418.000	114.998	78.651	57.384	42.616	14.604	13.627	0.0	0.01	0.0	0.1	99.9	0.0	244.845	2.592	22.567	30.671	14.604		长4+5!1^(1_1)
耿219	2418.125	108.724	78.107	49.026	50.974	14.723	13.749	0.0	0.01	0.0	0.1	99.9	0.0	238.746	2.592	22.574	28.045	14.723		长4+5!1^(1_1)
耿219	2418.250	101.712	77.198	40.595	59.405	14.66	13.725	0.0	0.01	0.0	0.1	99.9	0.0	232.917	2.59	22.585	25.547	14.66		长4+5!1^(1_1)
耿219	2418.375	93.264	76.057	17.088	82.912	14.568	13.66	0.0	1.625	0.0	11.3	85.827	0.0	224.539	2.585	22.604	22.43	14.568		长4+5!1^(1_1)
耿219	2418.500	87.856	75.254	14.426	85.574	14.493	13.522	0.0	1.46	0.0	11.028	87.838	0.0	221.73	2.58	22.608	20.872	14.493		长4+5!1^(1_1)
耿219	2418.625	82.808	74.468	12.289	87.711	14.118	13.132	0.0	1.421	0.0	10.961	89.457	0.0	221.038	2.572	22.603	20.919	14.118		长4+5!1^(1_1)
耿219	2418.750	80.507	73.339	11.445	88.555	13.77	12.949	0.0	1.459	0.0	11.027	90.12	0.0	221.723	2.544	22.594	21.954	13.77		长4+5!1^(1_1)
耿219	2418.875	80.421	72.051	11.668	88.332	13.438	12.73	0.0	1.645	0.0	11.331	89.155	0.0	224.859	2.484	22.58	25.368	13.438		长4+5!1^(1_1)
耿219	2419.000	79.817	71.313	11.568	88.432	13.092	12.432	0.0	1.749	0.0	11.49	89.268	0.0	226.498	2.413	22.583	28.12	13.092		长4+5!1^(1_1)
耿219	2419.125	79.721	70.759	11.586	88.414	12.38	11.726	0.0	1.793	0.0	11.555	91.363	0.0	227.167	2.347	22.602	29.062	12.38		长4+5!1^(1_1)
耿219	2419.250	81.48	70.16	12.266	87.734	11.946	11.351	0.0	1.785	0.0	11.544	93.082	0.0	227.054	2.286	22.637	28.931	11.946		长4+5!1^(1_1)
耿219	2419.375	84.345	69.574	13.333	86.667	11.591	10.934	0.0	1.716	0.0	11.441	95.219	0.0	225.989	2.242	22.741	27.449	11.591		长4+5!1^(1_1)
耿219	2419.500	86.151	69.336	14.086	85.914	11.337	10.332	0.0	1.717	0.0	11.442	96.272	0.0	226.001	2.232	22.825	26.229	11.337		长4+5!1^(1_1)
耿219	2419.625	88.051	69.294	15.04	84.96	10.978	9.375	0.0	1.819	0.0	11.593	96.754	0.0	227.558	2.256	22.908	26.12	10.978		长4+5!1^(1_1)
耿219	2419.750	89.206	69.482	15.889	84.111	10.927	9.187	0.0	2.077	0.0	11.949	94.539	0.0	231.226	2.298	22.999	27.106	10.927		长4+5!1^(1_1)
耿219	2419.875	94.242	69.872	19.107	80.893	10.95	9.343	0.0	2.812	0.0	12.8	89.112	0.0	243.948	2.359	23.163	32.237	10.95		长4+5!1^(1_1)
耿219	2420.000	99.891	70.272	21.978	78.022	11.056	9.708	0.0	2.812	0.0	12.8	88.683	0.0	253.866	2.416	23.249	38.654	11.056		长4+5!1^(1_1)
耿219	2420.125	104.463	70.722	43.795	56.205	11.388	10.585	0.0	0.01	0.0	0.1	99.9	0.0	261.268	2.455	23.284	42.967	11.388		长4+5!1^(1_1)
耿219	2420.250	108.343	71.485	48.544	51.456	11.653	11.194	0.0	0.01	0.0	0.1	99.9	0.0	265.635	2.496	23.273	44.246	11.653		长4+5!1^(1_1)
耿219	2420.375	114.002	72.495	56.002	43.998	11.995	11.844	0.0	0.01	0.0	0.1	99.9	0.0	262.087	2.545	23.136	39.166	11.995		长4+5!1^(1_1)
耿219	2420.500	114.815	73.204	57.128	42.872	12.328	12.868	0.0	0.01	0.0	0.1	99.9	0.0	254.884	2.588	23.011	32.727	12.328		长4+5!1^(1_1)
耿219	2420.625	113.198	73.763	54.903	45.097	13.106	15.464	0.0	0.01	0.0	0.1	99.9	0.0	246.508	2.607	22.903	29.055	13.106		长4+5!1^(1_1)
耿219	2420.750	112.539	74.342	54.011	45.989	13.674	16.468	0.0	0.01	0.0	0.1	99.9	0.0	238.477	2.62	22.815	26.402	13.674		长4+5!1^(1_1)
耿219	2420.875	109.63	74.9	50.184	49.816	14.348	16.488	0.0	0.01	0.0	0.1	99.9	0.0	228.841	2.63	22.737	24.143	14.348		长4+5!1^(1_1)
耿219	2421.000	107.533	75.213	47.53	52.47	15.104	16.051	0.0	0.01	0.0	0.1	99.9	0.0	224.343	2.637	22.72	22.749	15.104		长4+5!1^(1_1)
耿219	2421.125	107.45	75.464	47.426	52.574	16.535	15.639	0.0	0.01	0.0	0.1	99.9	0.0	222.798	2.639	22.733	22.47	16.535		长4+5!1^(1_1)
耿219	2421.250	107.729	75.73	47.774	52.226	17.507	15.576	0.0	0.01	0.0	0.1	99.9	0.0	222.082	2.64	22.757	22.526	17.507		长4+5!1^(1_1)
耿219	2421.375	107.092	75.988	46.983	53.017	18.215	15.753	0.0	0.01	0.0	0.1	99.9	0.0	221.602	2.638	22.811	22.939	18.215		长4+5!1^(1_1)
耿219	2421.500	108.073	76.161	48.204	51.796	18.66	15.995	0.0	0.01	0.0	0.1	99.9	0.0	221.209	2.63	22.85	23.28	18.66		长4+5!1^(1_1)
耿219	2421.625	111.045	76.346	52.025	47.975	18.99	15.998	0.0	0.01	0.0	0.1	99.9	0.0	220.856	2.618	22.883	23.147	18.99		长4+5!1^(1_1)
耿219	2421.750	113.466	76.707	55.267	44.733	19.039	15.593	0.0	0.01	0.0	0.1	99.9	0.0	220.802	2.6	22.921	22.798	19.039		长4+5!1^(1_1)
耿219	2421.875	118.25	77.205	62.042	37.958	18.834	14.918	0.0	0.01	0.0	0.1	99.9	0.0	223.902	2.571	23.015	22.974	18.834		长4+5!1^(1_1)
耿219	2422.000	121.957	77.579	67.648	32.352	18.353	14.431	0.0	0.01	0.0	0.1	99.9	0.0	229.502	2.547	23.1	24.691	18.353		长4+5!1^(1_1)
耿219	2422.125	124.671	77.887	71.958	28.042	17.276	14.699	0.0	0.01	0.0	0.1	99.9	0.0	237.566	2.551	23.184	28.481	17.276		长4+5!1^(1_1)
耿219	2422.250	127.157	78.242	76.068	23.932	16.491	15.211	0.0	0.01	0.0	0.1	99.9	0.0	247.939	2.567	23.27	34.62	16.491		长4+5!1^(1_1)
