井名	深度	SH	SS	RT	RT.1	SP	AC	PERM2024	PERM	POR2024	POR	SW	SW2024	GR	CAL	DEN	CNL	RT.2	解释结论	层位
耿60	2359.750	16.661	83.339	9.976	11.012	58.558	246.058	0.936	5.079	12.207	15.022	63.729	0.637	75.743	22.31	2.486	19.23	9.763	水层	
耿60	2359.875	21.667	78.333	11.142	12.179	59.416	248.796	0.0	2.237	0.0	6.15	84.845	0.0	74.778	22.334	2.306	24.13	10.675	水层	
耿60	2360.000	26.814	73.186	15.598	14.624	60.499	251.978	0.0	0.01	0.0	0.1	99.9	0.0	78.179	22.371	2.193	29.9	13.814		
耿60	2360.125	31.487	68.513	10.602	9.33	61.75	254.367	0.0	0.01	0.0	0.1	99.9	0.0	85.697	22.801	2.124	36.38	12.602		
耿60	2360.250	39.172	60.828	6.339	5.857	63.108	263.338	0.0	0.01	0.0	0.1	99.9	0.0	95.408	23.72	2.096	40.41	8.046		
耿60	2360.375	47.821	52.179	9.079	7.9	64.534	276.921	0.0	0.01	0.0	0.1	99.9	0.0	103.893	24.751	2.166	35.35	7.982		长4+5!1^(1_1)
耿60	2360.500	52.392	47.608	19.515	17.383	65.662	281.177	0.0	0.01	0.0	0.1	99.9	0.0	105.652	24.816	2.213	29.22	15.337		长4+5!1^(1_1)
耿60	2360.625	52.87	47.13	28.758	27.143	66.873	275.166	0.0	0.01	0.0	0.1	99.9	0.0	105.22	23.76	2.289	24.29	25.057		长4+5!1^(1_1)
耿60	2360.750	51.724	48.276	65.581	59.232	67.861	263.256	0.0	0.01	0.0	0.1	99.9	0.0	103.732	22.692	2.392	20.68	50.837		长4+5!1^(1_1)
耿60	2360.875	50.195	49.805	50.947	30.433	68.604	253.858	0.0	0.01	0.0	0.1	99.9	0.0	102.325	22.128	2.496	18.34	56.807		长4+5!1^(1_1)
耿60	2361.000	48.942	51.058	26.024	19.689	69.219	247.705	0.0	0.01	0.0	0.1	99.9	0.0	101.266	22.125	2.568	17.05	36.003		长4+5!1^(1_1)
耿60	2361.125	46.454	53.546	14.929	15.428	69.835	239.11	0.0	0.01	0.0	0.1	99.9	0.0	97.884	22.125	2.577	16.18	19.371		长4+5!1^(1_1)
耿60	2361.250	41.585	58.415	10.839	11.393	69.779	227.23	0.0	0.01	0.0	0.1	99.9	0.0	91.743	22.125	2.58	15.76	12.476		长4+5!1^(1_1)
耿60	2361.375	37.194	62.806	7.891	8.22	70.373	219.761	0.0	0.01	0.0	0.1	99.9	0.0	87.91	22.125	2.585	15.05	9.072		长4+5!1^(1_1)
耿60	2361.500	35.391	64.609	8.047	8.516	71.219	215.797	0.0	0.01	0.0	0.1	99.9	0.0	87.079	22.127	2.592	14.84	7.985		长4+5!1^(1_1)
耿60	2361.625	36.684	63.316	8.916	9.752	72.139	215.516	0.0	0.01	0.0	0.1	99.9	0.0	90.079	22.128	2.598	15.42	8.568		长4+5!1^(1_1)
耿60	2361.750	42.115	57.885	9.298	10.295	73.321	215.432	0.0	0.01	0.0	0.1	99.9	0.0	97.832	22.128	2.588	16.63	9.145		长4+5!1^(1_1)
耿60	2361.875	50.582	49.418	12.297	13.752	74.551	209.38	0.0	0.01	0.0	0.1	99.9	0.0	106.686	22.17	2.48	21.29	11.096		长4+5!1^(1_1)
耿60	2362.000	66.048	33.952	14.861	16.274	76.297	212.084	0.0	0.01	0.0	0.1	99.9	0.0	122.715	22.205	2.388	27.29	13.834		长4+5!1^(1_1)
耿60	2362.125	89.49	10.51	8.97	10.217	77.571	220.515	0.0	0.01	0.0	0.1	99.9	0.0	142.378	22.249	2.293	34.37	11.329		长4+5!1^(1_1)
耿60	2362.250	99.9	0.1	8.109	9.923	78.371	223.109	0.0	0.01	0.0	0.1	99.9	0.0	161.621	22.354	2.254	36.21	8.454		长4+5!1^(1_1)
耿60	2362.375	99.9	0.1	8.052	10.699	79.005	222.404	0.0	0.01	0.0	0.1	99.9	0.0	176.192	22.578	2.302	29.5	8.075		长4+5!1^(1_1)
耿60	2362.500	99.9	0.1	10.554	12.62	79.722	221.447	0.0	0.01	0.0	0.1	99.9	0.0	181.839	22.982	2.346	23.24	9.552		长4+5!1^(1_1)
耿60	2362.625	99.9	0.1	13.041	13.931	81.229	217.906	0.0	0.01	0.0	0.1	99.9	0.0	173.124	22.742	2.492	20.06	12.045		长4+5!1^(1_1)
耿60	2362.750	99.9	0.1	13.44	13.645	82.006	212.32	0.0	0.01	0.0	0.1	99.9	0.0	160.099	22.703	2.564	19.85	13.28		长4+5!1^(1_1)
耿60	2362.875	99.9	0.1	14.526	10.49	82.545	206.727	0.0	0.01	0.0	0.1	99.9	0.0	147.687	22.561	2.596	20.44	14.091		长4+5!1^(1_1)
耿60	2363.000	99.731	0.269	16.745	11.559	83.249	202.693	0.0	0.01	0.0	0.1	99.9	0.0	139.772	22.337	2.617	20.56	15.856		长4+5!1^(1_1)
耿60	2363.125	98.624	1.376	11.74	10.804	84.222	201.34	0.0	0.01	0.0	0.1	99.9	0.0	138.777	22.31	2.635	19.98	13.744		长4+5!1^(1_1)
耿60	2363.250	99.124	0.876	9.026	9.024	84.632	202.015	0.0	0.01	0.0	0.1	99.9	0.0	144.362	22.314	2.642	19.76	10.113		长4+5!1^(1_1)
耿60	2363.375	99.9	0.1	8.143	8.435	84.821	201.558	0.0	0.01	0.0	0.1	99.9	0.0	147.641	22.311	2.648	20.31	8.497		长4+5!1^(1_1)
耿60	2363.500	99.9	0.1	6.192	6.762	85.007	202.161	0.0	0.01	0.0	0.1	99.9	0.0	149.845	22.312	2.647	21.02	6.973		长4+5!1^(1_1)
耿60	2363.625	99.9	0.1	6.301	6.886	85.103	204.279	0.0	0.01	0.0	0.1	99.9	0.0	150.902	22.313	2.642	21.91	6.257		长4+5!1^(1_1)
耿60	2363.750	99.9	0.1	7.465	8.281	85.041	205.291	0.0	0.01	0.0	0.1	99.9	0.0	152.107	22.309	2.631	23.34	6.999		长4+5!1^(1_1)
耿60	2363.875	99.9	0.1	8.674	10.144	84.939	207.23	0.0	0.01	0.0	0.1	99.9	0.0	157.729	22.31	2.603	25.93	8.19		长4+5!1^(1_1)
耿60	2364.000	99.9	0.1	10.168	11.773	85.09	215.112	0.0	0.01	0.0	0.1	99.9	0.0	167.212	22.31	2.387	27.07	9.57		长4+5!1^(1_1)
耿60	2364.125	99.9	0.1	10.965	13.533	84.809	222.557	0.0	0.01	0.0	0.1	99.9	0.0	174.513	22.345	2.272	26.49	10.646		长4+5!1^(1_1)
耿60	2364.250	99.9	0.1	6.567	7.516	83.694	220.743	0.0	0.01	0.0	0.1	99.9	0.0	173.426	23.738	2.208	23.73	8.328		长4+5!1^(1_1)
耿60	2364.375	99.9	0.1	5.217	6.121	82.308	218.32	0.0	0.01	0.0	0.1	99.9	0.0	162.864	25.92	2.218	20.0	5.757		长4+5!1^(1_1)
耿60	2364.500	99.9	0.1	4.538	5.852	81.619	219.878	0.0	0.01	0.0	0.1	99.9	0.0	145.239	27.137	2.342	17.27	4.809		长4+5!1^(1_1)
耿60	2364.625	84.018	15.982	11.652	10.996	81.568	220.48	0.0	0.01	0.0	0.1	99.9	0.0	122.353	25.717	2.427	15.74	8.803		长4+5!1^(1_1)
耿60	2364.750	59.25	40.75	11.673	12.914	80.281	217.628	0.0	0.01	0.0	0.1	99.9	0.0	102.509	23.066	2.517	16.68	11.664		长4+5!1^(1_1)
耿60	2364.875	41.905	58.095	19.87	20.933	79.605	218.427	0.0	0.01	0.0	0.1	99.9	0.0	88.837	22.116	2.57	17.55	16.588		长4+5!1^(1_1)
