井名	深度	GR	SP	RT	AC	CNL	DEN	RT.1	RT.2	RT.3	RT.4	RT.5	RT.6	RT.7	RT.8	RT.9	解释结论	层位
苏257	2239.125	135.718	70.476	15.747	290.598	40.232	2.045	8.19	14.118	8.656	15.571	15.825	14.249	13.452	11.185	10.905		chang3
苏257	2239.250	132.013	70.774	11.883	284.633	38.769	2.153	6.489	11.044	6.523	11.832	11.959	11.049	10.68	10.504	10.242		chang3
苏257	2239.375	132.386	70.992	8.368	271.244	36.795	2.362	6.31	8.089	6.126	8.383	8.425	8.044	7.957	10.791	10.74		chang3
苏257	2239.500	134.289	71.145	6.574	259.283	33.549	2.533	7.301	6.572	6.864	6.61	6.615	6.512	6.565	11.636	11.893		chang3
苏257	2239.625	132.192	71.288	6.309	255.792	31.016	2.602	8.988	6.47	8.183	6.354	6.345	6.388	6.54	12.836	13.309		chang3
苏257	2239.750	128.208	71.483	7.122	254.953	31.668	2.603	10.585	7.473	9.42	7.18	7.165	7.339	7.63	14.123	14.675		chang3
苏257	2239.875	124.299	71.761	8.394	254.642	31.634	2.602	11.644	8.995	10.305	8.463	8.454	8.78	9.265	14.837	15.445		chang3
苏257	2240.000	122.138	72.091	9.558	256.179	30.101	2.604	12.189	10.382	10.898	9.617	9.633	10.082	10.745	15.14	15.721		chang3
苏257	2240.125	120.584	72.389	10.392	259.899	30.538	2.592	12.391	11.316	11.296	10.411	10.47	10.955	11.71	15.401	15.845		chang4+5
苏257	2240.250	122.716	72.572	10.954	265.219	31.787	2.545	12.5	11.843	11.649	10.914	11.025	11.456	12.201	15.784	16.061		chang4+5
苏257	2240.375	126.268	72.617	11.356	271.336	32.864	2.473	12.683	12.127	12.077	11.256	11.415	11.734	12.407	16.362	16.423		chang4+5
苏257	2240.500	126.175	72.558	11.729	276.307	34.786	2.418	13.005	12.349	12.596	11.579	11.776	11.96	12.537	17.124	17.086		chang4+5
苏257	2240.625	124.706	72.437	12.176	278.364	34.319	2.419	13.314	12.646	13.041	11.99	12.213	12.268	12.75	17.726	17.673		chang4+5
苏257	2240.750	125.451	72.261	12.672	277.473	34.508	2.47	13.37	13.021	13.148	12.47	12.701	12.657	13.058	17.772	17.644		chang4+5
苏257	2240.875	121.92	72.022	13.038	274.565	35.411	2.524	13.053	13.309	12.797	12.845	13.065	12.97	13.308	17.161	17.036		chang4+5
苏257	2241.000	114.854	71.711	13.063	271.118	33.898	2.557	12.499	13.303	12.144	12.901	13.089	13.004	13.294	16.065	15.996		chang4+5
苏257	2241.125	114.833	71.356	12.671	267.813	32.595	2.571	11.906	12.931	11.43	12.561	12.7	12.685	12.947	14.79	14.66		chang4+5
苏257	2241.250	121.746	71.012	12.014	264.338	32.142	2.574	11.471	12.328	10.887	11.967	12.046	12.138	12.392	13.768	13.692		chang4+5
苏257	2241.375	125.586	70.745	11.343	260.147	31.457	2.573	11.213	11.72	10.544	11.357	11.379	11.582	11.838	13.127	13.145		chang4+5
苏257	2241.500	122.304	70.572	10.837	254.634	30.895	2.573	11.071	11.269	10.363	10.9	10.875	11.175	11.435	12.929	13.007		chang4+5
苏257	2241.625	112.226	70.475	10.522	248.015	30.305	2.579	11.097	10.993	10.391	10.624	10.561	10.935	11.194	13.296	13.525		chang4+5
苏257	2241.750	102.536	70.414	10.377	241.484	28.348	2.589	11.332	10.86	10.668	10.508	10.416	10.837	11.082	14.196	14.618		chang4+5
苏257	2241.875	96.562	70.342	10.454	235.985	26.192	2.595	11.734	10.922	11.18	10.607	10.492	10.934	11.15	15.486	16.092		chang4+5
